run_id,seed,model,n_calibration,n_test,beta_config,alpha_config,all_calibration_benign,calibration_fpr_recomputed,fusion_max_abs_error,max_metric_abs_error,test_threshold_ties,training_time_seconds,inference_time_seconds,auc,ap,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
pilot_tcn_gan_seed0,0,tcn_gan,16591,43897,0.25,0.24,True,0.2500150684105841,9.759999997083213e-08,1.1102230246251565e-16,0,390.59614745900035,19.113583917031065,0.8629738446950717,0.7322911976895524,0.7815754818628038,0.703426354918651,0.7404445956674606,0.14402999802644562,0.2457498013973236,13057,3649,21686,5505
formal_tcn_gan_seed1,1,tcn_gan,16591,43897,0.25,0.24,True,0.2500150684105841,9.040000004123527e-08,1.4901161193847656e-08,0,397.18199087504763,19.51260266592726,0.8604402153264561,0.7006482691701508,0.7882582081246522,0.610494558775994,0.6880806363470763,0.12014999013222814,0.32579725980758667,11332,3044,22291,7230
formal_tcn_gan_seed2,2,tcn_gan,16591,43897,0.25,0.24,True,0.2500150684105841,1.1680000000513502e-07,3.725290298461914e-09,0,406.95504141703714,21.891349332989193,0.8386959745338549,0.7960104035956955,0.7829725983580339,0.7912401680853356,0.7870846730975348,0.16068679692125518,0.07193595170974731,14687,4071,21264,3875
formal_tcn_gan_seed3,3,tcn_gan,16591,43897,0.25,0.24,True,0.2500150684105841,1.0299999997354092e-07,0.0,0,397.2625669169938,19.45787591696717,0.9320804186937809,0.8744596051643356,0.8533548107304381,0.7420536580109902,0.793821859781575,0.09342806394316164,0.3591739237308502,13774,2367,22968,4788
formal_tcn_gan_seed4,4,tcn_gan,16591,43897,0.25,0.24,True,0.2500150684105841,8.880000001987298e-08,1.1102230246251565e-16,0,396.84835608303547,19.325709042022936,0.9791345894971821,0.9792906692972516,0.9288486416558862,0.9283482383363861,0.928598372581775,0.05210183540556542,0.3208974301815033,17232,1320,24015,1330
pilot_tcn_wgan_gp_seed0,0,tcn_wgan_gp,16591,43897,0.25,0.24,True,0.2500150684105841,4.320000002167035e-08,3.725290298461914e-09,0,2839.785498167039,19.84558208391536,0.8928670883961616,0.7131965185874595,0.8415075120957474,0.8901519232841288,0.8651464774720528,0.12283402407736334,0.12253917753696442,16523,3112,22223,2039
formal_tcn_wgan_gp_seed1,1,tcn_wgan_gp,16591,43897,0.25,0.24,True,0.2500150684105841,5.1379599963485845e-08,7.450580596923828e-09,0,5396.7366491249995,38.55216516600922,0.8935877961742986,0.7336811406482023,0.8413833280372842,0.8558883740976188,0.8485738703130008,0.11821590684823367,0.14783844351768494,15887,2995,22340,2675
formal_tcn_wgan_gp_seed2,2,tcn_wgan_gp,16591,43897,0.25,0.24,True,0.2500150684105841,5.280000003882179e-08,7.450580596923828e-09,0,5114.81963020796,39.749384209048,0.9350556842799536,0.8502045764297593,0.8585394518937978,0.8658010990195022,0.8621549851130603,0.10451943951055852,0.17442384362220764,16071,2648,22687,2491
formal_tcn_wgan_gp_seed3,3,tcn_wgan_gp,16591,43897,0.25,0.24,True,0.2500150684105841,4.7200000075076076e-08,7.450580596923828e-09,0,5113.591989874956,40.02899379201699,0.8902380496562101,0.7832058154730738,0.8143341517596165,0.750457924792587,0.7810922956151172,0.12536017367278468,0.14034858345985413,13930,3176,22159,4632
formal_tcn_wgan_gp_seed4,4,tcn_wgan_gp,16591,43897,0.25,0.24,True,0.2500150684105841,7.200000007312468e-08,1.1102230246251565e-16,0,4162.166332000052,21.431183999986388,0.954298994061411,0.9432297762150371,0.8632926505704431,0.7011636677082211,0.7738272192163624,0.08134991119005329,0.28271347284317017,13015,2061,23274,5547
