alpha,threshold,auc,ap,precision,recall,f1,test_fpr
0.0,0.1870793431997299,0.9037181870679898,0.7645119911399465,0.841612141441653,0.8721797220127142,0.8564911843488154,0.12093151766331163
0.05,0.1856646329164505,0.9083413086747273,0.778109559298802,0.8386790840298479,0.8535071651761663,0.8459379579386239,0.11980264456285772
0.1,0.1824431985616684,0.9118101865558568,0.7922852069019722,0.8426209551654352,0.8609093847645728,0.8516142338276433,0.11788434971383462
0.15,0.179206383228302,0.9125864451794717,0.8001238583341502,0.8407015442740484,0.8343928455985348,0.8363972969434155,0.11596605486481153
0.2,0.17590917348861695,0.9124490682733072,0.8017815588973816,0.8424438787956984,0.8260101282189419,0.8326884877757971,0.11336096309453325
0.25,0.1729070946574211,0.9134507278154234,0.8055496000050232,0.8445822945388803,0.8103113888589591,0.8251482551704206,0.10957963291888691
0.3,0.1698848009109497,0.9148142295460419,0.8098820777860052,0.8504883226134625,0.7987501346837625,0.8208406834284311,0.10393526741661732
0.35,0.16651270985603334,0.9159756417331749,0.8138832350961029,0.8566937211151497,0.794741945911001,0.8206930178354537,0.09964081310440102
0.4,0.1630920946598053,0.9170968562263407,0.81851251064216,0.8601863978568357,0.7866501454584636,0.8165350791831749,0.0969962502466943
0.45,0.15936629772186278,0.9183679796215042,0.8235689164410006,0.8664220750822904,0.7781704557698524,0.8132496868705152,0.09197552792579436
0.5,0.15698240995407103,0.9193973229365442,0.8277547548636542,0.8732825176118941,0.7717487339726323,0.811952745212072,0.08627590290112493
0.55,0.15548088997602463,0.9197164137822863,0.8298672960922717,0.8782223492335929,0.7647990518263118,0.8094840594062876,0.08254193803039274
0.6,0.15414445251226425,0.9192640524099149,0.8297080493227874,0.884470906697939,0.754552311173365,0.8057772969462016,0.07805012828103415
0.65,0.15282033234834672,0.9180595650223223,0.8278853762304396,0.8898719599108649,0.736774054519987,0.7973307887026507,0.0735030590092757
0.7,0.1511477380990982,0.9162725054786283,0.8249668882818358,0.8928360330447186,0.71826311819847,0.7870199984282709,0.07050325636471286
0.75,0.14938909262418748,0.9136755503406597,0.8207598519849124,0.8958421178010025,0.7044176274108394,0.779448051840762,0.06792184724689165
0.8,0.14714814275503157,0.9100724503483937,0.8151991827237699,0.9004054590006723,0.6904967137161944,0.7723805053837124,0.06407736333135979
0.85,0.14534935876727104,0.9046838435431759,0.807564469730149,0.8937725387557709,0.6633767912940416,0.7521690407909535,0.06592461022301163
0.9,0.1430570434778929,0.8952589174260046,0.795089150199564,0.8727459761756536,0.6184462881155047,0.7109351008129429,0.07107164002368264
0.95,0.14076394774019718,0.8730937522108391,0.7697990772449131,0.8522348664463012,0.6091046223467298,0.6923197560509278,0.08298401420959148
1.0,0.13869778863154353,0.7087541372927414,0.6660265936870982,0.6606862912340127,0.39403081564486586,0.49043079269694195,0.11100059206631144
