model,seed,run_id,attack_family,support,recall,precision_one_vs_rest,score_mean,score_median,score_std,score_q05,score_q25,score_q75,score_q95,threshold,threshold_margin_mean,threshold_margin_median,false_negative_count,false_negative_rate
tcn_gan,0,pilot_tcn_gan_seed0,Bot,148,0.06756756756756757,0.0005985873338920149,0.057308007439864854,0.039241012,0.06486430375164495,0.01188886345,0.02451092375,0.0556480805,0.26361606000000004,0.2457498013973236,-0.18844179395745872,-0.20650878939732362,138,0.9324324324324325
tcn_gan,1,formal_tcn_gan_seed1,Bot,148,0.033783783783783786,0.0003478018920422927,0.2099037834864865,0.201090315,0.054460005938640234,0.1393845955,0.1712773025,0.231691815,0.312673444,0.32579727470874786,-0.11589349122226138,-0.12470695970874787,143,0.9662162162162162
tcn_gan,2,formal_tcn_gan_seed2,Bot,148,0.0,0.0,0.02612500665337838,0.025640324,0.010572204098093532,0.01181312455,0.01945352725,0.0300000875,0.047635983300000004,0.07193594798445702,-0.04581094133107864,-0.04629562398445702,148,1.0
tcn_gan,3,formal_tcn_gan_seed3,Bot,148,0.0,0.0,0.08612303926013515,0.07978885299999999,0.054089726687392946,0.017299816500000002,0.0377925065,0.1261463975,0.18383590400000002,0.3591739237308502,-0.27305088447071507,-0.2793850707308502,148,1.0
tcn_gan,4,formal_tcn_gan_seed4,Bot,148,0.0,0.0,0.06551224452364866,0.0404321995,0.06524085671643956,0.0143435062,0.02575401725,0.07140995,0.21436127500000002,0.3208974301815033,-0.2553851856578546,-0.2804652306815033,148,1.0
tcn_wgan_gp,0,pilot_tcn_wgan_gp_seed0,Bot,148,0.0,0.0,0.03510162486148649,0.0319648495,0.014731950368391247,0.01640306645,0.025039715,0.043745795500000004,0.06364609745000004,0.12253918126225471,-0.08743755640076825,-0.09057433176225471,148,1.0
tcn_wgan_gp,1,formal_tcn_wgan_gp_seed1,Bot,148,0.0,0.0,0.045920746509459466,0.038989845999999995,0.024611747788279546,0.0151946223,0.02669502075,0.060158186749999995,0.09485535325000001,0.14783845096826553,-0.10191770445880607,-0.10884860496826554,148,1.0
tcn_wgan_gp,2,formal_tcn_wgan_gp_seed2,Bot,148,0.0,0.0,0.052078504459459454,0.045656643499999996,0.026571741840341376,0.02363216815,0.0328202655,0.064151413,0.10647930910000004,0.17442383617162704,-0.12234533171216758,-0.12876719267162706,148,1.0
tcn_wgan_gp,3,formal_tcn_wgan_gp_seed3,Bot,148,0.0,0.0,0.049325212493243245,0.045309993,0.022608748328611927,0.0217249114,0.03368655025,0.06137770575,0.09981463100000003,0.14034859091043472,-0.09102337841719146,-0.09503859791043472,148,1.0
tcn_wgan_gp,4,formal_tcn_wgan_gp_seed4,Bot,148,0.0,0.0,0.05624908322972973,0.051091198,0.02429313905566212,0.028002458900000003,0.03862969425,0.06907598000000001,0.09871109900000001,0.28271347284317017,-0.22646438961344045,-0.23162227484317016,148,1.0
tcn_gan,0,pilot_tcn_gan_seed0,DDoS,8117,0.5419489959344586,0.2633185681790973,0.3734178275837132,0.4526456,0.25276488048192425,0.07956577199999999,0.11201791,0.627999,0.71450666,0.2457498013973236,0.1276680261863896,0.20689579860267637,3718,0.45805100406554144
tcn_gan,1,formal_tcn_gan_seed1,DDoS,8117,0.5467537267463348,0.30870895937673903,0.3724267819785635,0.3808049,0.09377559725993084,0.253219056,0.28529662,0.46490943,0.512745256,0.32579727470874786,0.04662950726981565,0.05500762529125214,3679,0.4532462732536651
tcn_gan,2,formal_tcn_gan_seed2,DDoS,8117,0.5839595909818899,0.252692184667875,0.38446758766466677,0.33265117,0.3669206157629393,0.0109792336,0.029273389,0.7968894,0.930370614,0.07193594798445702,0.31253163968020975,0.260715222015543,3377,0.4160404090181101
tcn_gan,3,formal_tcn_gan_seed3,DDoS,8117,0.5401010225452754,0.27160646800074345,0.3822654005197733,0.44497824,0.15955243499316635,0.179331954,0.21747516,0.53011304,0.5886229080000001,0.3591739237308502,0.023091476788923097,0.0858043162691498,3733,0.45989897745472463
tcn_gan,4,formal_tcn_gan_seed4,DDoS,8117,0.9253418750769989,0.40486200948684775,0.49574015484181344,0.46376288,0.14303499441900958,0.30531421000000003,0.39246386,0.63892597,0.7094638799999999,0.3208974301815033,0.1748427246603102,0.1428654498184967,606,0.07465812492300111
tcn_wgan_gp,0,pilot_tcn_wgan_gp_seed0,DDoS,8117,0.8011580633238882,0.33119429590017824,0.17861901798423063,0.18638025,0.04551011553511689,0.09850938120000001,0.16702022,0.2071976,0.24434703,0.12253918126225471,0.05607983672197591,0.06384106873774528,1614,0.19884193667611186
tcn_wgan_gp,1,formal_tcn_wgan_gp_seed1,DDoS,8117,0.7510163853640508,0.3228471560216079,0.1695864978765554,0.16615653,0.042887131317490584,0.109558146,0.14827837,0.19292492,0.24915066799999996,0.14783845096826553,0.021748046908289843,0.018318079031734463,2021,0.24898361463594923
tcn_wgan_gp,2,formal_tcn_wgan_gp_seed2,DDoS,8117,0.765060983121843,0.3317484908381858,0.21410935171984724,0.22522151,0.05423440835678285,0.123433922,0.18546543,0.24934766,0.29389287000000003,0.17442383617162704,0.03968551554822019,0.05079767382837297,1907,0.23493901687815696
tcn_wgan_gp,3,formal_tcn_wgan_gp_seed3,DDoS,8117,0.5335715165701614,0.25318601660236173,0.2031870859327338,0.14164603,0.1035225061755473,0.10596349399999999,0.1311056,0.3111658,0.38393752200000003,0.14034859091043472,0.06283849502229905,0.0012974390895652832,3786,0.4664284834298386
