all_same_prediction,ap,auc,backfilled,calibration_empirical_fpr,calibration_empirical_fpr_matches_rule,checkpoint,checkpoint_reload_matches_saved_scores,config_hash,device,epochs,f1,final_discriminator_or_critic_loss,final_generator_loss,fn,fp,inference_time_seconds,loss_type,manifest_hash,model,model_name,nan_or_inf_detected,parameter_count,precision,recall,research_config_hash,resolved_config_hash,run_id,runtime_metadata_hash,scaler_hash,score_mean_attack,score_mean_benign,score_std_calibration,score_std_test,scores_calibration_csv,scores_test_csv,seed,smoke,test_benign_fpr,threshold,tn,tp,training_failed_or_degenerate,training_log_csv,training_time_seconds,resolved_config_yaml
False,0.7322911976895523,0.8629738446950717,True,0.2500150684105841,True,journal_rebuild/runs/checkpoints/pilot_tcn_gan_seed0/checkpoint.pt,True,56ed345f0c33def4a17c4f021078fa8d93c73e2368b303468a70b890916ccf79,mps,8,0.7404445956674607,0.2989859494165732,3.3256958461724793,5505,3649,19.113583917031065,bce,95475b7c92d7bebe7be51c1e8e9d09e3ff3f5beb86ee97bc0b4a424b146c1ad2,tcn_gan,tcn_gan,False,404816,0.7815754818628038,0.703426354918651,56ed345f0c33def4a17c4f021078fa8d93c73e2368b303468a70b890916ccf79,56ed345f0c33def4a17c4f021078fa8d93c73e2368b303468a70b890916ccf79,pilot_tcn_gan_seed0,0c4a7059e4be94351c867540697912ab30ee3071d0b83f2c708e44ccf697150d,c9d13576149dcb7f87f2236bc41a3e982ba9ee3125b626b38515e2ca9278e9e8,0.3370681014788547,0.1160738743523162,0.14227961003780365,0.20415326952934265,journal_rebuild/runs/scores/pilot_tcn_gan_seed0/scores_calibration.csv,journal_rebuild/runs/scores/pilot_tcn_gan_seed0/scores_test.csv,0,False,0.14402999802644562,0.2457498013973236,21686,13057,False,journal_rebuild/runs/logs/pilot_tcn_gan_seed0/training_log.csv,390.59614745900035,
False,0.7006482691701508,0.8604402153264561,True,0.2500150684105841,True,journal_rebuild/runs/checkpoints/formal_tcn_gan_seed1/checkpoint.pt,True,ba90339af264b003961cf09e9704cb2d28caf70efcc5cb42f256b65e948dead0,mps,8,0.6880806363470764,1.292687177658081,0.7784835872741845,7230,3044,19.51260266592726,bce,95475b7c92d7bebe7be51c1e8e9d09e3ff3f5beb86ee97bc0b4a424b146c1ad2,tcn_gan,tcn_gan,False,404816,0.7882582081246522,0.610494558775994,ba90339af264b003961cf09e9704cb2d28caf70efcc5cb42f256b65e948dead0,ba90339af264b003961cf09e9704cb2d28caf70efcc5cb42f256b65e948dead0,formal_tcn_gan_seed1,6a9268e246423bd0f13f655f3627f894c7161996db106a7c5bd6c3b804c6c3b8,c9d13576149dcb7f87f2236bc41a3e982ba9ee3125b626b38515e2ca9278e9e8,0.3441133142876307,0.2491913958515098,0.07022131234407425,0.09400780498981476,journal_rebuild/runs/scores/formal_tcn_gan_seed1/scores_calibration.csv,journal_rebuild/runs/scores/formal_tcn_gan_seed1/scores_test.csv,1,,0.12014999013222814,0.32579727470874786,22291,11332,False,journal_rebuild/runs/logs/formal_tcn_gan_seed1/training_log.csv,397.18199087504763,journal_rebuild/runs/checkpoints/formal_tcn_gan_seed1/resolved_config.yaml
False,0.7960104035956955,0.8386959745338549,True,0.2500150684105841,True,journal_rebuild/runs/checkpoints/formal_tcn_gan_seed2/checkpoint.pt,True,c5c1bcfe4b0560a2fb87a151b497ee7168b357fdaa16cd750e2f99dff4087a88,mps,8,0.7870846730975348,0.1969388211701208,3.9973132165578695,3875,4071,21.891349332989193,bce,95475b7c92d7bebe7be51c1e8e9d09e3ff3f5beb86ee97bc0b4a424b146c1ad2,tcn_gan,tcn_gan,False,404816,0.7829725983580339,0.7912401680853356,c5c1bcfe4b0560a2fb87a151b497ee7168b357fdaa16cd750e2f99dff4087a88,c5c1bcfe4b0560a2fb87a151b497ee7168b357fdaa16cd750e2f99dff4087a88,formal_tcn_gan_seed2,744f816f89e65bff94e0e3f298df6da0382f72c0809a40157e7c7ed80ceb4b7c,c9d13576149dcb7f87f2236bc41a3e982ba9ee3125b626b38515e2ca9278e9e8,0.30797536240267753,0.06415011939986871,0.09257129579782486,0.22580739855766296,journal_rebuild/runs/scores/formal_tcn_gan_seed2/scores_calibration.csv,journal_rebuild/runs/scores/formal_tcn_gan_seed2/scores_test.csv,2,,0.16068679692125518,0.07193594798445702,21264,14687,False,journal_rebuild/runs/logs/formal_tcn_gan_seed2/training_log.csv,406.95504141703714,journal_rebuild/runs/checkpoints/formal_tcn_gan_seed2/resolved_config.yaml
False,0.8744596051643356,0.9320804186937809,True,0.2500150684105841,True,journal_rebuild/runs/checkpoints/formal_tcn_gan_seed3/checkpoint.pt,True,ca05ee1182ed5eb943cfa2817fe0d7fbeb044b2b423445a35159961a89823baa,mps,8,0.793821859781575,0.1461202795129233,5.571584169222758,4788,2367,19.45787591696717,bce,95475b7c92d7bebe7be51c1e8e9d09e3ff3f5beb86ee97bc0b4a424b146c1ad2,tcn_gan,tcn_gan,False,404816,0.8533548107304381,0.7420536580109902,ca05ee1182ed5eb943cfa2817fe0d7fbeb044b2b423445a35159961a89823baa,ca05ee1182ed5eb943cfa2817fe0d7fbeb044b2b423445a35159961a89823baa,formal_tcn_gan_seed3,94fd11c2e610b34a3878aa15baad6594b4605fe455aed92615b9132ebb2e76f7,c9d13576149dcb7f87f2236bc41a3e982ba9ee3125b626b38515e2ca9278e9e8,0.4530985801778095,0.13422909573859879,0.19041651487350464,0.2091113030910492,journal_rebuild/runs/scores/formal_tcn_gan_seed3/scores_calibration.csv,journal_rebuild/runs/scores/formal_tcn_gan_seed3/scores_test.csv,3,,0.09342806394316164,0.3591739237308502,22968,13774,False,journal_rebuild/runs/logs/formal_tcn_gan_seed3/training_log.csv,397.2625669169938,journal_rebuild/runs/checkpoints/formal_tcn_gan_seed3/resolved_config.yaml
False,0.9792906692972515,0.979134589497182,True,0.2500150684105841,True,journal_rebuild/runs/checkpoints/formal_tcn_gan_seed4/checkpoint.pt,True,5286d5b8f09083eb592b3fe6712b1f86ff8cc34c9157773bd4103e30d3eb3b98,mps,8,0.928598372581775,0.3935132106372083,3.312872546338118,1330,1320,19.325709042022936,bce,95475b7c92d7bebe7be51c1e8e9d09e3ff3f5beb86ee97bc0b4a424b146c1ad2,tcn_gan,tcn_gan,False,404816,0.9288486416558862,0.9283482383363861,5286d5b8f09083eb592b3fe6712b1f86ff8cc34c9157773bd4103e30d3eb3b98,5286d5b8f09083eb592b3fe6712b1f86ff8cc34c9157773bd4103e30d3eb3b98,formal_tcn_gan_seed4,377023d146567504b2ed0b50071f9356c6e205aa05333078918c04494465e65c,c9d13576149dcb7f87f2236bc41a3e982ba9ee3125b626b38515e2ca9278e9e8,0.5115133572520311,0.09627611281960193,0.19218051433563232,0.23130807280540466,journal_rebuild/runs/scores/formal_tcn_gan_seed4/scores_calibration.csv,journal_rebuild/runs/scores/formal_tcn_gan_seed4/scores_test.csv,4,,0.05210183540556542,0.3208974301815033,24015,17232,False,journal_rebuild/runs/logs/formal_tcn_gan_seed4/training_log.csv,396.84835608303547,journal_rebuild/runs/checkpoints/formal_tcn_gan_seed4/resolved_config.yaml
False,0.7131965185874594,0.8928670883961615,True,0.2500150684105841,True,journal_rebuild/runs/checkpoints/pilot_tcn_wgan_gp_seed0/checkpoint.pt,True,2131befe8f1efd324e34e4cc80915d9952b7b1c87c43ebe5feca065b2653377f,mps,8,0.8651464774720528,-3.321930819291335,-4.1043874309613155,2039,3112,19.84558208391536,wgan_gp,95475b7c92d7bebe7be51c1e8e9d09e3ff3f5beb86ee97bc0b4a424b146c1ad2,tcn_wgan_gp,tcn_wgan_gp,False,404816,0.8415075120957474,0.8901519232841288,2131befe8f1efd324e34e4cc80915d9952b7b1c87c43ebe5feca065b2653377f,2131befe8f1efd324e34e4cc80915d9952b7b1c87c43ebe5feca065b2653377f,pilot_tcn_wgan_gp_seed0,099d3103d1081107041ed63408f7f31fa33f66102f19b031be8ccd1fb0f8af5b,c9d13576149dcb7f87f2236bc41a3e982ba9ee3125b626b38515e2ca9278e9e8,0.17728035345692814,0.07240935445758832,0.05354150012135506,0.0778200700879097,journal_rebuild/runs/scores/pilot_tcn_wgan_gp_seed0/scores_calibration.csv,journal_rebuild/runs/scores/pilot_tcn_wgan_gp_seed0/scores_test.csv,0,False,0.12283402407736334,0.12253918126225471,22223,16523,False,journal_rebuild/runs/logs/pilot_tcn_wgan_gp_seed0/training_log.csv,2839.785498167039,
False,0.7336811406482024,0.8935877961742985,,0.2500150684105841,True,journal_rebuild/runs/checkpoints/formal_tcn_wgan_gp_seed1/checkpoint.pt,True,5035bd215fcb7d65a9cdb5938ce81b48418c7a3db1c1cddedb61bd3419df8d72,mps,8,0.8485738703130007,-3.484033576341776,-9.276958775520324,2675,2995,38.55216516600922,wgan_gp,95475b7c92d7bebe7be51c1e8e9d09e3ff3f5beb86ee97bc0b4a424b146c1ad2,tcn_wgan_gp,tcn_wgan_gp,False,404816,0.8413833280372842,0.8558883740976188,5035bd215fcb7d65a9cdb5938ce81b48418c7a3db1c1cddedb61bd3419df8d72,5035bd215fcb7d65a9cdb5938ce81b48418c7a3db1c1cddedb61bd3419df8d72,formal_tcn_wgan_gp_seed1,d316e1a65d7b6c206dfd8b9a5b81ce207f7099041c3466c87d11b6f9e539cebe,c9d13576149dcb7f87f2236bc41a3e982ba9ee3125b626b38515e2ca9278e9e8,0.17583122849464417,0.09201239794492722,0.057974547147750854,0.06852360814809799,journal_rebuild/runs/scores/formal_tcn_wgan_gp_seed1/scores_calibration.csv,journal_rebuild/runs/scores/formal_tcn_wgan_gp_seed1/scores_test.csv,1,,0.11821590684823367,0.14783845096826553,22340,15887,False,journal_rebuild/runs/logs/formal_tcn_wgan_gp_seed1/training_log.csv,5396.7366491249995,journal_rebuild/runs/checkpoints/formal_tcn_wgan_gp_seed1/resolved_config.yaml
False,0.8502045764297594,0.9350556842799536,,0.2500150684105841,True,journal_rebuild/runs/checkpoints/formal_tcn_wgan_gp_seed2/checkpoint.pt,True,7bd68394d9c5f4176c2c630e7b57ed4335ed03de96bb79dcac9bf96e2279b6d2,mps,8,0.8621549851130603,-3.4224545827278723,-4.212697721444643,2491,2648,39.749384209048,wgan_gp,95475b7c92d7bebe7be51c1e8e9d09e3ff3f5beb86ee97bc0b4a424b146c1ad2,tcn_wgan_gp,tcn_wgan_gp,False,404816,0.8585394518937978,0.8658010990195022,7bd68394d9c5f4176c2c630e7b57ed4335ed03de96bb79dcac9bf96e2279b6d2,7bd68394d9c5f4176c2c630e7b57ed4335ed03de96bb79dcac9bf96e2279b6d2,formal_tcn_wgan_gp_seed2,7a5a12892c2da911953ffb98ba6db21c093ad51e93ad151826613e213949a81c,c9d13576149dcb7f87f2236bc41a3e982ba9ee3125b626b38515e2ca9278e9e8,0.23098109662532806,0.08846645057201385,0.08966473489999771,0.09103018790483475,journal_rebuild/runs/scores/formal_tcn_wgan_gp_seed2/scores_calibration.csv,journal_rebuild/runs/scores/formal_tcn_wgan_gp_seed2/scores_test.csv,2,,0.10451943951055852,0.17442383617162704,22687,16071,False,journal_rebuild/runs/logs/formal_tcn_wgan_gp_seed2/training_log.csv,5114.81963020796,journal_rebuild/runs/checkpoints/formal_tcn_wgan_gp_seed2/resolved_config.yaml
False,0.7832058154730738,0.8902380496562101,,0.2500150684105841,True,journal_rebuild/runs/checkpoints/formal_tcn_wgan_gp_seed3/checkpoint.pt,True,abb5408e1fb626fc692db5044a4905d05a7ec483ec79e5e350ac04ff27f50a7b,mps,8,0.7810922956151173,-3.3578995457062355,-4.438843209009904,4632,3176,40.02899379201699,wgan_gp,95475b7c92d7bebe7be51c1e8e9d09e3ff3f5beb86ee97bc0b4a424b146c1ad2,tcn_wgan_gp,tcn_wgan_gp,False,404816,0.8143341517596165,0.750457924792587,abb5408e1fb626fc692db5044a4905d05a7ec483ec79e5e350ac04ff27f50a7b,abb5408e1fb626fc692db5044a4905d05a7ec483ec79e5e350ac04ff27f50a7b,formal_tcn_wgan_gp_seed3,4d7e889c856bb67799fde2a6c92d500544f7763c5a9e87ab0e26b8b891825728,c9d13576149dcb7f87f2236bc41a3e982ba9ee3125b626b38515e2ca9278e9e8,0.17809095978736877,0.07754948735237122,0.0714007019996643,0.08360360562801361,journal_rebuild/runs/scores/formal_tcn_wgan_gp_seed3/scores_calibration.csv,journal_rebuild/runs/scores/formal_tcn_wgan_gp_seed3/scores_test.csv,3,,0.12536017367278468,0.14034859091043472,22159,13930,False,journal_rebuild/runs/logs/formal_tcn_wgan_gp_seed3/training_log.csv,5113.591989874956,journal_rebuild/runs/checkpoints/formal_tcn_wgan_gp_seed3/resolved_config.yaml
False,0.943229776215037,0.9542989940614109,,0.2500150684105841,True,journal_rebuild/runs/checkpoints/formal_tcn_wgan_gp_seed4/checkpoint.pt,True,637a76017cab179ec4a706d104d499fb8bf5606c97d71509e91c26d7fb06c9d6,mps,8,0.7738272192163625,-3.551664901696719,-5.498107847800622,5547,2061,21.431183999986388,wgan_gp,95475b7c92d7bebe7be51c1e8e9d09e3ff3f5beb86ee97bc0b4a424b146c1ad2,tcn_wgan_gp,tcn_wgan_gp,False,404816,0.8632926505704431,0.7011636677082211,637a76017cab179ec4a706d104d499fb8bf5606c97d71509e91c26d7fb06c9d6,637a76017cab179ec4a706d104d499fb8bf5606c97d71509e91c26d7fb06c9d6,formal_tcn_wgan_gp_seed4,828df7942773a7536a83f253562b687551c257bc5c64748461c873176eeab8c6,c9d13576149dcb7f87f2236bc41a3e982ba9ee3125b626b38515e2ca9278e9e8,0.4042947292327881,0.10661278665065765,0.18861454725265503,0.18398918211460114,journal_rebuild/runs/scores/formal_tcn_wgan_gp_seed4/scores_calibration.csv,journal_rebuild/runs/scores/formal_tcn_wgan_gp_seed4/scores_test.csv,4,,0.08134991119005329,0.28271347284317017,23274,13015,False,journal_rebuild/runs/logs/formal_tcn_wgan_gp_seed4/training_log.csv,4162.166332000052,journal_rebuild/runs/checkpoints/formal_tcn_wgan_gp_seed4/resolved_config.yaml
