seed,run_id,attack_family,support_family,support_benign,sd_sf_correlation,sd_auc,sd_ap,sf_auc,sf_ap,fused_auc,fused_ap,sd_f1,sf_f1,fused_f1,disagreement_windows,sd_high_sf_low,sd_low_sf_high,both_high,both_low
0,pilot_tcn_wgan_gp_seed0,Bot,148,25335,0.08826811697789916,0.7903083812053616,0.01448200590806981,0.24531920908475083,0.00351681155347654,0.2759901108924199,0.0036381450798772834,0.030007318858258115,0.0,0.0,10449,8050,2399,0,15034
1,formal_tcn_wgan_gp_seed1,Bot,148,25335,0.040453062062912076,0.8133716309560004,0.01946468818141483,0.22112823302876589,0.003406815215882044,0.2289813792478091,0.003431336626809311,0.03943287549844926,0.0,0.0,6592,3984,2608,382,18509
2,formal_tcn_wgan_gp_seed2,Bot,148,25335,0.042546911404796633,0.7493081891838552,0.012864358530484338,0.27602771510409163,0.0036271584464109582,0.2948708922065938,0.003715633202073645,0.008086253369272238,0.0,0.0,3170,513,2657,81,22232
3,formal_tcn_wgan_gp_seed3,Bot,148,25335,0.04662626281068216,0.7971967527029694,0.017716969382507535,0.2647989908203052,0.0036003680167178177,0.3553448652915793,0.0040527555736824235,0.013245033112582781,0.0012978585334198574,0.0,4519,250,4269,206,20758
4,formal_tcn_wgan_gp_seed4,Bot,148,25335,0.2618523920826596,0.6173136724646494,0.007171196684380683,0.25267789992479156,0.003535267068532865,0.2733394140143696,0.0036198912440496517,0.0,0.0,0.0,2258,176,2082,638,22587
0,pilot_tcn_wgan_gp_seed0,DDoS,8117,25335,-0.006152687255321825,0.3488267174281287,0.17983017559066833,0.9184336810479868,0.6083794034964468,0.8965278329398016,0.5506445806823995,0.1611461318051576,0.76551035980513,0.7334762012181367,18253,9333,8920,0,15199
1,formal_tcn_wgan_gp_seed1,DDoS,8117,25335,-0.02634208630739909,0.6243627348683487,0.27719408902723125,0.8829726022657727,0.548206703086111,0.882904810417819,0.5467356905955987,0.21141496500469006,0.7106622554994486,0.7085076708507672,14070,5350,8720,392,18990
2,formal_tcn_wgan_gp_seed2,DDoS,8117,25335,0.20223036067484282,0.5375304880354148,0.4058424582043382,0.9208927827989504,0.661235215922824,0.9230769485129401,0.6793443276664809,0.3182696021629973,0.7326328079392878,0.7316642120765832,7886,556,7330,1683,23883
3,formal_tcn_wgan_gp_seed3,DDoS,8117,25335,0.47899218098199403,0.7318965288565524,0.5350059507008337,0.8980992728727403,0.5963812849077329,0.9029544889414457,0.7051905091243775,0.42206058373998706,0.7466148944643569,0.5544034818228367,9749,261,9488,2483,21220
4,formal_tcn_wgan_gp_seed4,DDoS,8117,25335,0.3394211699033966,0.7892882242554914,0.4700964167807872,0.9358400513080372,0.7194469990000522,0.9224098059271744,0.7328707889785221,0.042735042735042736,0.7589326614750344,0.46728409005345983,8692,177,8515,832,23928
0,pilot_tcn_wgan_gp_seed0,PortScan,10297,25335,-0.01956315302408331,0.2634418841903268,0.19892867491857236,0.9241757228892767,0.6656070752738558,0.8988478137734393,0.6058624189876937,0.004489460717218725,0.8830334755641578,0.8553502070084084,20404,7968,12436,0,15228
1,formal_tcn_wgan_gp_seed1,PortScan,10297,25335,0.011134711235667366,0.7272721409580496,0.3862479718459865,0.9124358400770455,0.6490925588955534,0.9115615307659723,0.6468156810054216,0.037039531281567784,0.849012474012474,0.8483299397825238,16239,4000,12239,552,18841
2,formal_tcn_wgan_gp_seed2,PortScan,10297,25335,0.6353121529738451,0.9780088735773116,0.8847752900795326,0.9428765506570507,0.749870090194337,0.9536998279575012,0.8017076941446779,0.9338033685859772,0.8611742093307705,0.8647724283083399,3602,567,3035,9560,22470
3,formal_tcn_wgan_gp_seed3,PortScan,10297,25335,0.2679096890490277,0.9823462715280005,0.9012049182836299,0.8156132127826448,0.47711780805813575,0.8879019181235023,0.5926084956806442,0.94322371331662,0.7143976323119777,0.8320908460471568,5993,1680,4313,8366,21273
4,formal_tcn_wgan_gp_seed4,PortScan,10297,25335,0.8208958253048425,0.9929835915925779,0.987631138303518,0.94064938007834,0.7210128141028611,0.9892243662992045,0.9858736219462045,0.9423131841980009,0.8688246795568108,0.8901661427929951,2397,196,2201,10517,22718
