dataset,method,type,target_fpr,auc,ap,f1,recall,precision,test_fpr,source
SWaT,TCN-GAN,Ours,0.05,0.990438517793546,0.9977429922895272,0.9949656750567073,0.9899817850637515,0.9999999999999991,0.0,attack/results/ablation_swat_attn_prob/ours.json
SWaT,OneClassSVM,Unsupervised/Deep,0.05,0.9925563439632438,0.9982160032514656,0.9912723932016536,0.982695810564663,1.0,0.0,attack/results/cross_dataset_formal_unsup/swat_baselines/20260419_125812/baseline_results.csv
SWaT,TranAD,SOTA,0.05,0.9799635701275046,0.9952813092963421,0.988516306844281,0.9799635701275046,0.9972196478220574,0.008955223880597015,attack/results/sota_tranad_swat/baseline_results.csv
SWaT,IsolationForest,Unsupervised/Deep,0.05,0.9860886822717017,0.9963996548810652,0.9768303985171456,0.9599271402550091,0.9943396226415094,0.01791044776119403,attack/results/cross_dataset_formal_unsup/swat_baselines/20260419_125812/baseline_results.csv
SWaT,LSTM-AE,Unsupervised/Deep,0.05,0.9799635701275046,0.9952813092963421,0.9867033470884915,0.9799635701275046,0.9935364727608494,0.020895522388059702,attack/results/cross_dataset_formal_unsup/swat_baselines/20260419_125812/baseline_results.csv
SWaT,LSTM-AD,Unsupervised/Deep,0.05,0.8680205529728406,0.9660690054105665,0.8987654320987655,0.8287795992714025,0.9816612729234089,0.050746268656716415,attack/results/cross_dataset_formal_unsup/swat_baselines/20260419_125812/baseline_results.csv
SWaT,DeepSVDD,SOTA,0.05,0.8484802762145557,0.9314402165494498,0.8636003172085646,0.9918032786885246,0.764747191011236,1.0,attack/results/sota_deepsvdd_swat/baseline_results.csv
TON_IoT,TCN-GAN,Ours,0.05,0.5555580319453467,0.3804387885561641,0.1793748174113252,0.11009503317195624,0.48384554767533455,0.049749354397691015,attack/results/ablation_toniot_attn_prob/ours.json
TON_IoT,LSTM-AD,Unsupervised/Deep,0.05,0.4848186524094165,0.28635686050558323,0.11302344491123457,0.07477138246369015,0.2314095449500555,0.10519519975694971,attack/results/cross_dataset_formal_unsup/ton_iot_baselines/20260419_130847/baseline_results.csv
TON_IoT,IsolationForest,Unsupervised/Deep,0.05,0.39861846321959205,0.2554650750498516,0.1409131374793336,0.09933656087502242,0.24234470691163604,0.13155096460580282,attack/results/cross_dataset_formal_unsup/ton_iot_baselines/20260419_130847/baseline_results.csv
TON_IoT,OneClassSVM,Unsupervised/Deep,0.05,0.3754235613920817,0.26941754866725776,0.24419087136929463,0.21104536489151873,0.2896874230863894,0.2192009722011241,attack/results/cross_dataset_formal_unsup/ton_iot_baselines/20260419_130847/baseline_results.csv
TON_IoT,DeepSVDD,SOTA,0.05,0.5834797581078794,0.37048911305016935,0.3790896159317212,0.3822843822843823,0.3759478046199965,0.26879842017317335,attack/results/sota_deepsvdd_toniot/baseline_results.csv
TON_IoT,TranAD,SOTA,0.05,0.4406142706894059,0.2826549460750257,0.3058260720997779,0.3209610901918594,0.2920541687061511,0.3295609904298952,attack/results/sota_tranad_toniot/baseline_results.csv
TON_IoT,LSTM-AE,Unsupervised/Deep,0.05,0.61246840423975,0.35861258296085174,0.4541364296081278,0.5610543302850995,0.38144581250761916,0.3853866018532584,attack/results/cross_dataset_formal_unsup/ton_iot_baselines/20260419_130847/baseline_results.csv
