method,type,target_fpr,auc,ap,f1,recall,precision,test_fpr,eval_seconds
IsolationForest,Unsupervised,0.05,0.3960740445336236,0.4524974701822361,0.2482356016380587,0.1533286690705559,0.6514978275783215,0.0600851600693896,74.81946992874146
IsolationForest,Unsupervised,0.01,0.3960740445336236,0.4524974701822361,0.1923094592732117,0.1126419460739465,0.6569365976145637,0.0430925721495032,74.81946992874146
IsolationForest,Unsupervised,0.03,0.3960740445336236,0.4524974701822361,0.2416296361476527,0.1477853721543512,0.6620057859209257,0.0552751931871944,74.81946992874146
IsolationForest,Unsupervised,0.1,0.3960740445336236,0.4524974701822361,0.2520192472933493,0.1578494160701792,0.6247071352502662,0.0694685380854754,74.81946992874146
IsolationForest,Unsupervised,0.15,0.3960740445336236,0.4524974701822361,0.3603403918464278,0.2449814326462515,0.6810293237582286,0.0840561425642643,74.81946992874146
IsolationForest,Unsupervised,0.2,0.3960740445336236,0.4524974701822361,0.4583423345574998,0.3425542220547871,0.6923746328728381,0.1114966093676076,74.81946992874146
IsolationForest,Unsupervised,0.3,0.3960740445336236,0.4524974701822361,0.4402270884022708,0.3651579570529035,0.5541489709245344,0.2152263049992114,74.81946992874146
OneClassSVM,Unsupervised,0.05,0.813866676190628,0.6505696919309488,0.2605020920502092,0.1675367310693719,0.5852603872908442,0.086973663460022,20.89783787727356
OneClassSVM,Unsupervised,0.01,0.813866676190628,0.6505696919309488,0.0,0.0,0.0,0.0697839457498817,20.89783787727356
OneClassSVM,Unsupervised,0.03,0.813866676190628,0.6505696919309488,0.2490377701645307,0.1584414186534632,0.5815883050177796,0.0835041791515533,20.89783787727356
OneClassSVM,Unsupervised,0.1,0.813866676190628,0.6505696919309488,0.3957586506169579,0.2822237769764814,0.6621212121212121,0.1055038637438889,20.89783787727356
OneClassSVM,Unsupervised,0.15,0.813866676190628,0.6505696919309488,0.661579947294233,0.5809698078682525,0.7681633814843806,0.1284497713294433,20.89783787727356
OneClassSVM,Unsupervised,0.2,0.813866676190628,0.6505696919309488,0.819562685987838,0.8522684462623109,0.789274322169059,0.1666929506387005,20.89783787727356
OneClassSVM,Unsupervised,0.3,0.813866676190628,0.6505696919309488,0.762742216916154,0.8939777191755018,0.6651051051051051,0.3297587131367292,20.89783787727356
RF (Window),Supervised,0.05,0.6623076970834705,0.7125625115504466,0.5578141249881818,0.4762929874603089,0.6730038022813688,0.1695316196183567,7335.748263835907
RF (Window),Supervised,0.01,0.6623076970834705,0.7125625115504466,0.5140994068884187,0.3988482858834293,0.7230243902439024,0.1119302949061662,7335.748263835907
RF (Window),Supervised,0.03,0.6623076970834705,0.7125625115504466,0.5402227112965213,0.4425488402131209,0.6932220536165908,0.1434710613467907,7335.748263835907
RF (Window),Supervised,0.1,0.6623076970834705,0.7125625115504466,0.6823555047120989,0.6741294871104893,0.6907847570727403,0.221061346790727,7335.748263835907
RF (Window),Supervised,0.15,0.6623076970834705,0.7125625115504466,0.6781364580395375,0.7116947419406922,0.6476003917727718,0.2837091941334174,7335.748263835907
RF (Window),Supervised,0.2,0.6623076970834705,0.7125625115504466,0.6540347418997167,0.7142780259404768,0.6031630612615888,0.3442674656994165,7335.748263835907
RF (Window),Supervised,0.3,0.6623076970834705,0.7125625115504466,0.6240496940478398,0.7245035251062913,0.5480600903798396,0.4376675603217158,7335.748263835907
MLP (Window),Supervised,0.05,0.7536515246148047,0.7386303015547513,0.743813640451394,0.6899521016091706,0.8067967275015733,0.1210376912158965,1478.096539735794
MLP (Window),Supervised,0.01,0.7536515246148047,0.7386303015547513,0.7437634924442312,0.6675098218610408,0.8396858709633742,0.0933606686642485,1478.096539735794
MLP (Window),Supervised,0.03,0.7536515246148047,0.7386303015547513,0.7463327159949437,0.6831709811097357,0.8223633065561026,0.1081059769752404,1478.096539735794
MLP (Window),Supervised,0.1,0.7536515246148047,0.7386303015547513,0.7310744638937355,0.6990474140250794,0.7661770778033387,0.1562844977132944,1478.096539735794
MLP (Window),Supervised,0.15,0.7536515246148047,0.7386303015547513,0.7139546929095222,0.7047521661912707,0.7234007292011932,0.1974057719602586,1478.096539735794
MLP (Window),Supervised,0.2,0.7536515246148047,0.7386303015547513,0.6957460819175556,0.710779828857435,0.6813351217498969,0.2435341428796719,1478.096539735794
MLP (Window),Supervised,0.3,0.7536515246148047,0.7386303015547513,0.6600241694823291,0.7201442333566547,0.6091687152872621,0.3384718498659517,1478.096539735794
LSTM-AE,Deep,0.05,0.4262004415961922,0.4201007805347996,0.5943447525829255,1.0,0.4228239845261122,1.0,1277.2156891822815
LSTM-AE,Deep,0.01,0.4262004415961922,0.4201007805347996,0.5943447525829255,1.0,0.4228239845261122,1.0,1277.2156891822815
LSTM-AE,Deep,0.03,0.4262004415961922,0.4201007805347996,0.5943447525829255,1.0,0.4228239845261122,1.0,1277.2156891822815
LSTM-AE,Deep,0.1,0.4262004415961922,0.4201007805347996,0.5943447525829255,1.0,0.4228239845261122,1.0,1277.2156891822815
LSTM-AE,Deep,0.15,0.4262004415961922,0.4201007805347996,0.5943447525829255,1.0,0.4228239845261122,1.0,1277.2156891822815
LSTM-AE,Deep,0.2,0.4262004415961922,0.4201007805347996,0.5943447525829255,1.0,0.4228239845261122,1.0,1277.2156891822815
LSTM-AE,Deep,0.3,0.4262004415961922,0.4201007805347996,0.5943447525829255,1.0,0.4228239845261122,1.0,1277.2156891822815
LSTM-AD,Deep,0.05,0.5867006321758543,0.4705059066722318,0.5943447525829255,1.0,0.4228239845261122,1.0,531.7994709014893
LSTM-AD,Deep,0.01,0.5867006321758543,0.4705059066722318,0.5943447525829255,1.0,0.4228239845261122,1.0,531.7994709014893
LSTM-AD,Deep,0.03,0.5867006321758543,0.4705059066722318,0.5943447525829255,1.0,0.4228239845261122,1.0,531.7994709014893
LSTM-AD,Deep,0.1,0.5867006321758543,0.4705059066722318,0.5943447525829255,1.0,0.4228239845261122,1.0,531.7994709014893
LSTM-AD,Deep,0.15,0.5867006321758543,0.4705059066722318,0.5943447525829255,1.0,0.4228239845261122,1.0,531.7994709014893
LSTM-AD,Deep,0.2,0.5867006321758543,0.4705059066722318,0.5943447525829255,1.0,0.4228239845261122,1.0,531.7994709014893
LSTM-AD,Deep,0.3,0.5867006321758543,0.4705059066722318,0.5943447525829255,1.0,0.4228239845261122,1.0,531.7994709014893
TCN-GAN,Ours,0.01,0.9463788913506751,0.9351284295554545,0.38992674786497084,0.24232302553604138,0.9975604346861829,0.0004341819617130452,20.817257208997034
TCN-GAN,Ours,0.03,0.9463788913506751,0.9351284295554545,0.5787360935883021,0.40776855942247603,0.9965766951942066,0.001026248273139925,11.7985872499994
TCN-GAN,Ours,0.05,0.9463788913506751,0.9351284295554545,0.7957516867348393,0.6639909492511583,0.9927507047925894,0.003552397868561279,16.103656457999023
TCN-GAN,Ours,0.1,0.9463788913506751,0.9351284295554545,0.7598906632134282,0.7113996336601659,0.8154758228864323,0.11793960923623446,15.084993291995488
TCN-GAN,Ours,0.15,0.9463788913506751,0.9351284295554545,0.8783337815038923,0.9678375175088891,0.8039829939583799,0.1728833629366489,10.510965791007038
TCN-GAN,Ours,0.2,0.9463788913506751,0.9351284295554545,0.8570553448149073,0.9798513091261718,0.7616096478371928,0.22470890073021513,9.952452875004383
TCN-GAN,Ours,0.3,0.9463788913506751,0.9351284295554545,0.8003153952291646,0.9842689365370111,0.6742941502122163,0.34833234655614764,10.361381791997701
