feature,windows_in_topk,coverage,mean_rank_when_topk,mean_abs_attr
PSH Flag Count,53,0.828125,1.2264150943396226,0.032524653233849676
Flow Packets/s,42,0.65625,2.738095238095238,0.003786043881518708
Fwd Header Length.1,40,0.625,3.9,0.0021149116691958625
min_seg_size_forward,39,0.609375,4.205128205128205,0.002087683388708683
Destination Port,33,0.515625,3.4545454545454546,0.001923176147581529
Init_Win_bytes_forward,26,0.40625,2.076923076923077,0.0034060932794659493
ACK Flag Count,18,0.28125,1.2777777777777777,0.006766436382349639
Fwd Header Length,17,0.265625,4.411764705882353,0.0021179069540266937
Avg Bwd Segment Size,10,0.15625,3.8,0.0005137793912055599
Bwd Packet Length Mean,9,0.140625,3.2222222222222223,0.0005863093255058516
