epoch,total_epochs,d_loss,g_loss,seconds,selected_device,dataset,window_size,stride,anomaly_ratio_threshold,score_mode,alpha,target_fpr,strict_no_leakage,independent_calibration,calib_ratio
1,1,0.44425147019075945,4.6851836060102166,49.77830545901088,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
2,4,0.3029956746971808,4.830850259673137,60.78165670798626,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
3,4,0.25940225002346917,4.156340898917271,53.90076908300398,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
4,4,0.2015271365060471,4.69216222854761,51.105873416992836,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
5,8,0.16136781618205043,4.634772549225734,57.3229140000185,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
6,8,0.16719053750141308,4.464103509829594,50.935871583002154,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
7,8,0.1343827791883646,5.085106682777405,50.61985337501392,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
8,8,0.1303694316455781,5.835918324268781,50.84298449999187,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
9,16,0.08884354488562586,5.900338580058171,51.95560366701102,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
10,16,0.07992971275128254,4.915039572348961,51.638414999993984,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
11,16,0.08661351538881158,4.738407547657307,53.523263166018296,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
12,16,0.07839774702666685,5.366876502220447,52.14928062498802,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
13,16,0.07649129149789448,7.257064160016867,50.48682137503056,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
14,16,0.4292751520191534,3.3069699071920837,50.84159991698107,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
15,16,0.2214020294065659,3.3308998924035293,51.09828858298715,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
16,16,0.1316332988951427,4.993258444162516,50.70318379200762,mps,cicids2017,128,16,0.15,fused,0.24,0.05,True,True,0.2
