score_mode,alpha,target_fpr,threshold,observed_test_benign_fpr,FP/Test Benign,precision,recall,F1,AUC,AP,TP,FP,TN,FN,checkpoint path,protocol metadata
critic_only,nan,0.15,0.9995758235454559,0.0015788434971383462,40/25335,0.9954710144927534,0.4736558560499946,0.6418923851934011,0.9536103977416975,0.9508771842636751,8792,40,25295,9770,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/selected_epoch_008_main.pt,"{""TAD_reference_source"": ""model_train_benign"", ""anomaly_ratio_threshold"": 0.15, ""calib_ratio"": 0.2, ""compute_score_mode"": ""prob"", ""dataset"": ""cicids2017"", ""independent_calibration"": true, ""model_train_source"": ""model_train_benign"", ""scaler_fit_source"": ""model_train_benign only"", ""selected_device"": ""cpu"", ""strict_no_leakage"": true, ""stride"": 16, ""threshold_calibration_source"": ""independent_calibration_benign"", ""window_size"": 128}"
critic_only,nan,0.2,0.9994176626205444,0.0022498519834221434,57/25335,0.9954308617234467,0.6690011852171103,0.8002062054961846,0.9536103977416975,0.9508771842636751,12418,57,25278,6144,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/selected_epoch_008_main.pt,"{""TAD_reference_source"": ""model_train_benign"", ""anomaly_ratio_threshold"": 0.15, ""calib_ratio"": 0.2, ""compute_score_mode"": ""prob"", ""dataset"": ""cicids2017"", ""independent_calibration"": true, ""model_train_source"": ""model_train_benign"", ""scaler_fit_source"": ""model_train_benign only"", ""selected_device"": ""cpu"", ""strict_no_leakage"": true, ""stride"": 16, ""threshold_calibration_source"": ""independent_calibration_benign"", ""window_size"": 128}"
critic_only,nan,0.25,0.00667843222618103,0.05912768896783106,1498/25335,0.9125306551442252,0.8419351362999676,0.8758125980716819,0.9536103977416975,0.9508771842636751,15628,1498,23837,2934,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/selected_epoch_008_main.pt,"{""TAD_reference_source"": ""model_train_benign"", ""anomaly_ratio_threshold"": 0.15, ""calib_ratio"": 0.2, ""compute_score_mode"": ""prob"", ""dataset"": ""cicids2017"", ""independent_calibration"": true, ""model_train_source"": ""model_train_benign"", ""scaler_fit_source"": ""model_train_benign only"", ""selected_device"": ""cpu"", ""strict_no_leakage"": true, ""stride"": 16, ""threshold_calibration_source"": ""independent_calibration_benign"", ""window_size"": 128}"
critic_only,nan,0.3,0.0006652474403381348,0.10230905861456484,2592/25335,0.8629296668429403,0.8791078547570305,0.870943637915811,0.9536103977416975,0.9508771842636751,16318,2592,22743,2244,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/selected_epoch_008_main.pt,"{""TAD_reference_source"": ""model_train_benign"", ""anomaly_ratio_threshold"": 0.15, ""calib_ratio"": 0.2, ""compute_score_mode"": ""prob"", ""dataset"": ""cicids2017"", ""independent_calibration"": true, ""model_train_source"": ""model_train_benign"", ""scaler_fit_source"": ""model_train_benign only"", ""selected_device"": ""cpu"", ""strict_no_leakage"": true, ""stride"": 16, ""threshold_calibration_source"": ""independent_calibration_benign"", ""window_size"": 128}"
feature_deviation_only,nan,0.15,0.35620762407779694,0.010696664693112295,271/25335,0.9694096399142114,0.46266566102790646,0.6263812406545349,0.9767904923715138,0.9615695379222677,8588,271,25064,9974,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/selected_epoch_008_main.pt,"{""TAD_reference_source"": ""model_train_benign"", ""anomaly_ratio_threshold"": 0.15, ""calib_ratio"": 0.2, ""compute_score_mode"": ""feat_l2"", ""dataset"": ""cicids2017"", ""independent_calibration"": true, ""model_train_source"": ""model_train_benign"", ""scaler_fit_source"": ""model_train_benign only"", ""selected_device"": ""cpu"", ""strict_no_leakage"": true, ""stride"": 16, ""threshold_calibration_source"": ""independent_calibration_benign"", ""window_size"": 128}"
feature_deviation_only,nan,0.2,0.3334999978542328,0.01618314584566805,410/25335,0.961320754716981,0.5489710160543045,0.6988546738902168,0.9767904923715138,0.9615695379222677,10190,410,24925,8372,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/selected_epoch_008_main.pt,"{""TAD_reference_source"": ""model_train_benign"", ""anomaly_ratio_threshold"": 0.15, ""calib_ratio"": 0.2, ""compute_score_mode"": ""feat_l2"", ""dataset"": ""cicids2017"", ""independent_calibration"": true, ""model_train_source"": ""model_train_benign"", ""scaler_fit_source"": ""model_train_benign only"", ""selected_device"": ""cpu"", ""strict_no_leakage"": true, ""stride"": 16, ""threshold_calibration_source"": ""independent_calibration_benign"", ""window_size"": 128}"
feature_deviation_only,nan,0.25,0.24629662185907364,0.04961515689757253,1257/25335,0.9336955375039561,0.9536149121861869,0.9435501066093082,0.9767904923715138,0.9615695379222677,17701,1257,24078,861,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/selected_epoch_008_main.pt,"{""TAD_reference_source"": ""model_train_benign"", ""anomaly_ratio_threshold"": 0.15, ""calib_ratio"": 0.2, ""compute_score_mode"": ""feat_l2"", ""dataset"": ""cicids2017"", ""independent_calibration"": true, ""model_train_source"": ""model_train_benign"", ""scaler_fit_source"": ""model_train_benign only"", ""selected_device"": ""cpu"", ""strict_no_leakage"": true, ""stride"": 16, ""threshold_calibration_source"": ""independent_calibration_benign"", ""window_size"": 128}"
feature_deviation_only,nan,0.3,0.14241519570350647,0.1322281428853365,3350/25335,0.8447564762037165,0.9820601228315914,0.9082484243038299,0.9767904923715138,0.9615695379222677,18229,3350,21985,333,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/selected_epoch_008_main.pt,"{""TAD_reference_source"": ""model_train_benign"", ""anomaly_ratio_threshold"": 0.15, ""calib_ratio"": 0.2, ""compute_score_mode"": ""feat_l2"", ""dataset"": ""cicids2017"", ""independent_calibration"": true, ""model_train_source"": ""model_train_benign"", ""scaler_fit_source"": ""model_train_benign only"", ""selected_device"": ""cpu"", ""strict_no_leakage"": true, ""stride"": 16, ""threshold_calibration_source"": ""independent_calibration_benign"", ""window_size"": 128}"
fused,0.24,0.15,0.5107177793979645,0.010499309255970002,266/25335,0.9699570815450642,0.46266566102790646,0.6264954770932305,0.9783488922184778,0.9631201538236734,8588,266,25069,9974,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/selected_epoch_008_main.pt,"{""TAD_reference_source"": ""model_train_benign"", ""anomaly_ratio_threshold"": 0.15, ""calib_ratio"": 0.2, ""compute_score_mode"": ""fused"", ""dataset"": ""cicids2017"", ""independent_calibration"": true, ""model_train_source"": ""model_train_benign"", ""scaler_fit_source"": ""model_train_benign only"", ""selected_device"": ""cpu"", ""strict_no_leakage"": true, ""stride"": 16, ""threshold_calibration_source"": ""independent_calibration_benign"", ""window_size"": 128}"
fused,0.24,0.2,0.4934599995613098,0.01582790605881192,401/25335,0.9621376640543856,0.5489710160543045,0.6990704215685011,0.9783488922184778,0.9631201538236734,10190,401,24934,8372,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/selected_epoch_008_main.pt,"{""TAD_reference_source"": ""model_train_benign"", ""anomaly_ratio_threshold"": 0.15, ""calib_ratio"": 0.2, ""compute_score_mode"": ""fused"", ""dataset"": ""cicids2017"", ""independent_calibration"": true, ""model_train_source"": ""model_train_benign"", ""scaler_fit_source"": ""model_train_benign only"", ""selected_device"": ""cpu"", ""strict_no_leakage"": true, ""stride"": 16, ""threshold_calibration_source"": ""independent_calibration_benign"", ""window_size"": 128}"
