attack_type,target_fpr,total_attack_windows,detected_attack_windows,missed_attack_windows,recall,mean_score,median_score,checkpoint_path,dataset,window_size,stride,anomaly_ratio_threshold,score_mode,alpha,strict_no_leakage,independent_calibration,calib_ratio,scaler_fit_source,model_train_source,threshold_calibration_source,TAD_reference_source,selected_device
Bot,0.15,148,0,148,0.0,0.2673037648200989,0.2770812511444092,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/epoch_008.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
DDoS,0.15,8117,4104,4013,0.5056055192805223,0.5691242814064026,0.5116834044456482,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/epoch_008.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
PortScan,0.15,10297,4484,5813,0.4354666407691561,0.4992738962173462,0.49389851093292236,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/epoch_008.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
Bot,0.2,148,0,148,0.0,0.2673037648200989,0.2770812511444092,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/epoch_008.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
DDoS,0.2,8117,4885,3232,0.6018233337439941,0.5691242814064026,0.5116834044456482,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/epoch_008.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
PortScan,0.2,10297,5305,4992,0.5151986015344275,0.4992738962173462,0.49389851093292236,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/epoch_008.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
Bot,0.25,148,0,148,0.0,0.2673037648200989,0.2770812511444092,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/epoch_008.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
DDoS,0.25,8117,7833,284,0.9650117038314648,0.5691242814064026,0.5116834044456482,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/epoch_008.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
PortScan,0.25,10297,9928,369,0.9641643197047683,0.4992738962173462,0.49389851093292236,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/epoch_008.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
Bot,0.3,148,0,148,0.0,0.2673037648200989,0.2770812511444092,/Users/lijie/Desktop/work/attack/results/cicids_strict_mps/checkpoints/epoch_008.pt,cicids2017,128,16,0.15,fused,0.24,True,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,model_train_benign,mps
