feature_name,feature_index,mean_abs_ig_attribution,normalized_feature_importance,rank
Bwd Packet Length Std,13,0.0003898586146533489,1.0,1
PSH Flag Count,46,0.00035502531682141125,0.910651445388794,2
ACK Flag Count,47,0.0003050425439141691,0.7824440002441406,3
Bwd Packet Length Mean,12,0.00026938627706840634,0.6909845471382141,4
Packet Length Variance,42,0.00021070966613478959,0.5404771566390991,5
Max Packet Length,39,0.00021068239584565163,0.5404071807861328,6
Avg Bwd Segment Size,54,0.00013418258458841592,0.34418267011642456,7
Average Packet Size,52,0.00013309839414432645,0.34140169620513916,8
URG Flag Count,48,0.00011797966726589948,0.30262166261672974,9
Packet Length Std,41,0.00010466905951034278,0.26847952604293823,10
Idle Min,77,7.826204819139093e-05,0.20074468851089478,11
SYN Flag Count,44,7.74518121033907e-05,0.19866640865802765,12
Bwd IAT Total,25,6.986752850934863e-05,0.17921248078346252,13
Destination Port,0,6.631260475842282e-05,0.17009398341178894,14
Packet Length Mean,40,6.187920371303335e-05,0.1587221622467041,15
Fwd IAT Total,20,6.139469041954726e-05,0.15747937560081482,16
Bwd Packet Length Max,10,5.4406351409852505e-05,0.13955405354499817,17
Flow Duration,1,4.947848356096074e-05,0.126913920044899,18
Fwd IAT Max,23,3.7383440940175205e-05,0.09588973969221115,19
Fwd IAT Mean,21,3.441450098762289e-05,0.08827431499958038,20
Flow IAT Mean,16,3.3984870242420584e-05,0.08717229217290878,21
Idle Mean,74,3.2171639759326354e-05,0.08252129703760147,22
Bwd IAT Max,28,3.0523002351401374e-05,0.07829248905181885,23
Flow IAT Max,18,2.772505467873998e-05,0.07111566513776779,24
Fwd PSH Flags,30,2.398398646619171e-05,0.06151970475912094,25
Fwd IAT Std,22,1.9786781194852665e-05,0.05075373500585556,26
Min Packet Length,38,1.9666171283461154e-05,0.05044436827301979,27
FIN Flag Count,43,1.5171127415669616e-05,0.03891443461179733,28
Init_Win_bytes_backward,67,1.502354189142352e-05,0.03853587433695793,29
Fwd Packets/s,36,1.4310478945844807e-05,0.036706842482089996,30
Idle Max,76,1.3731729268329218e-05,0.035222332924604416,31
Fwd Packet Length Mean,8,1.3478127584676258e-05,0.03457183390855789,32
Down/Up Ratio,51,1.3225358998170123e-05,0.03392347693443298,33
Init_Win_bytes_forward,66,1.3129417311574798e-05,0.03367738053202629,34
Flow Packets/s,15,1.2001622962998226e-05,0.030784552916884422,35
Bwd IAT Mean,26,1.1203247595403809e-05,0.028736693784594536,36
Fwd Packet Length Max,6,1.1123189324280247e-05,0.02853134088218212,37
Flow IAT Std,17,1.0787936844280921e-05,0.027671407908201218,38
Fwd IAT Min,24,8.813789463602006e-06,0.022607656195759773,39
Fwd Packet Length Min,7,8.221002644859254e-06,0.02108713798224926,40
Active Max,72,5.556933501793537e-06,0.014253715053200722,41
Bwd Packets/s,37,5.38386757398257e-06,0.01380979549139738,42
Idle Std,75,5.310216693032999e-06,0.01362087856978178,43
Bwd Packet Length Min,11,5.3084108913026284e-06,0.013616246171295643,44
Fwd Packet Length Std,9,4.683319730247604e-06,0.012012867256999016,45
Bwd IAT Min,29,4.147539584664628e-06,0.010638573206961155,46
Bwd IAT Std,27,4.1355810935783666e-06,0.010607900097966194,47
Avg Fwd Segment Size,53,2.9511791126424214e-06,0.007569869980216026,48
Flow IAT Min,19,1.3844152135789045e-06,0.0035510698799043894,49
Flow Bytes/s,14,1.1751169495255454e-06,0.0030142131727188826,50
Active Mean,70,8.32453224575147e-07,0.0021352695766836405,51
Active Std,71,4.458024989162368e-07,0.0011434978805482388,52
RST Flag Count,45,3.540771444932034e-07,0.0009082193719223142,53
ECE Flag Count,50,2.545397705944197e-07,0.0006529027596116066,54
Total Length of Fwd Packets,4,2.323334058473847e-07,0.0005959427217021585,55
Active Min,73,2.2935762444831198e-07,0.0005883097765035927,56
Subflow Bwd Packets,64,1.8917447164312762e-07,0.0004852386482525617,57
Total Backward Packets,3,1.7526841133985727e-07,0.0004495691682677716,58
Total Fwd Packets,2,1.5744021197861002e-07,0.00040383925079368055,59
Bwd Header Length,35,1.4873202758280968e-07,0.0003815024683717638,60
Total Length of Bwd Packets,5,1.321985934055192e-07,0.000339093676302582,61
Subflow Fwd Packets,62,1.202837154323788e-07,0.00030853162752464414,62
Subflow Bwd Bytes,65,1.015065791420966e-07,0.0002603676693979651,63
Subflow Fwd Bytes,63,7.900680287775685e-08,0.0002026550064329058,64
act_data_pkt_fwd,68,5.003769842915062e-08,0.00012834831431973726,65
Fwd Header Length.1,55,4.0333130613134927e-08,0.00010345578630222008,66
Fwd Header Length,34,3.939608106406922e-08,0.00010105222463607788,67
min_seg_size_forward,69,3.1162834535081174e-09,7.993367944436613e-06,68
CWE Flag Count,49,0.0,0.0,69
Bwd Avg Packets/Bulk,60,0.0,0.0,70
Bwd Avg Bytes/Bulk,59,0.0,0.0,71
Fwd Avg Bulk Rate,58,0.0,0.0,72
Fwd Avg Packets/Bulk,57,0.0,0.0,73
Fwd Avg Bytes/Bulk,56,0.0,0.0,74
Bwd URG Flags,33,0.0,0.0,75
Fwd URG Flags,32,0.0,0.0,76
Bwd PSH Flags,31,0.0,0.0,77
Bwd Avg Bulk Rate,61,0.0,0.0,78
