time_step,feature_index,feature_name,abs_ig_attribution
0,0,Destination Port,3.7548972613876686e-05
0,1,Flow Duration,5.9800422604894266e-06
0,2,Total Fwd Packets,2.283052396023777e-07
0,3,Total Backward Packets,2.298709489423345e-07
0,4,Total Length of Fwd Packets,6.780137340456349e-08
0,5,Total Length of Bwd Packets,2.4851178181961586e-07
0,6,Fwd Packet Length Max,1.8282795281265862e-05
0,7,Fwd Packet Length Min,9.06656168808695e-06
0,8,Fwd Packet Length Mean,1.7600981664145365e-05
0,9,Fwd Packet Length Std,4.339373845141381e-06
0,10,Bwd Packet Length Max,8.239894668804482e-06
0,11,Bwd Packet Length Min,4.570734290609835e-06
0,12,Bwd Packet Length Mean,2.7620819309959188e-05
0,13,Bwd Packet Length Std,5.1814720791298896e-05
0,14,Flow Bytes/s,4.168659870629199e-07
0,15,Flow Packets/s,1.6133630197145976e-05
0,16,Flow IAT Mean,6.338210368994623e-05
0,17,Flow IAT Std,5.40603359695524e-05
0,18,Flow IAT Max,4.6576013119192794e-05
0,19,Flow IAT Min,1.7384998045599787e-06
0,20,Fwd IAT Total,2.393544775713963e-07
0,21,Fwd IAT Mean,2.3592972866026685e-05
0,22,Fwd IAT Std,5.386003977037035e-05
0,23,Fwd IAT Max,6.162093086459208e-06
0,24,Fwd IAT Min,5.274228442431195e-06
0,25,Bwd IAT Total,8.20657514850609e-05
0,26,Bwd IAT Mean,2.4720977307879366e-05
0,27,Bwd IAT Std,7.423908755299635e-06
0,28,Bwd IAT Max,6.650931754847988e-05
0,29,Bwd IAT Min,4.474610705074156e-06
0,30,Fwd PSH Flags,5.400827285484411e-05
0,31,Bwd PSH Flags,0.0
0,32,Fwd URG Flags,0.0
0,33,Bwd URG Flags,0.0
0,34,Fwd Header Length,8.261061168468586e-08
0,35,Bwd Header Length,1.9983853860594536e-07
0,36,Fwd Packets/s,1.0615953215165064e-05
0,37,Bwd Packets/s,1.115764575843059e-06
0,38,Min Packet Length,1.8800377802108414e-05
0,39,Max Packet Length,6.852279966551578e-06
0,40,Packet Length Mean,1.0460605608386686e-06
0,41,Packet Length Std,2.6728434022516012e-05
0,42,Packet Length Variance,3.3811168123065727e-06
0,43,FIN Flag Count,6.7608766585181e-06
0,44,SYN Flag Count,9.863659943221137e-05
0,45,RST Flag Count,2.3761562317758944e-07
0,46,PSH Flag Count,0.00024411010963376611
0,47,ACK Flag Count,0.0005448635783977807
0,48,URG Flag Count,9.204963862430304e-05
0,49,CWE Flag Count,0.0
0,50,ECE Flag Count,4.6580095158788026e-07
0,51,Down/Up Ratio,2.3892528133728774e-06
0,52,Average Packet Size,4.4644759327638894e-05
0,53,Avg Fwd Segment Size,9.53460403252393e-06
0,54,Avg Bwd Segment Size,6.964715430513024e-05
0,55,Fwd Header Length.1,1.849178374868643e-07
0,56,Fwd Avg Bytes/Bulk,0.0
0,57,Fwd Avg Packets/Bulk,0.0
0,58,Fwd Avg Bulk Rate,0.0
0,59,Bwd Avg Bytes/Bulk,0.0
0,60,Bwd Avg Packets/Bulk,0.0
0,61,Bwd Avg Bulk Rate,0.0
0,62,Subflow Fwd Packets,1.4962446925892436e-07
0,63,Subflow Fwd Bytes,1.2830058437884873e-07
0,64,Subflow Bwd Packets,2.0839382841586485e-07
0,65,Subflow Bwd Bytes,2.2212726946690964e-07
0,66,Init_Win_bytes_forward,6.847775512142107e-05
0,67,Init_Win_bytes_backward,3.30805778503418e-05
0,68,act_data_pkt_fwd,8.411136320773949e-08
0,69,min_seg_size_forward,5.3203752167774176e-14
0,70,Active Mean,1.398415520270646e-06
0,71,Active Std,1.0295247676594954e-07
0,72,Active Max,3.526494765537791e-06
0,73,Active Min,2.3348923150479095e-07
0,74,Idle Mean,7.194712907221401e-06
0,75,Idle Std,5.091754246677738e-06
0,76,Idle Max,2.589011455711443e-05
0,77,Idle Min,0.00018720577645581216
1,0,Destination Port,3.926613862859085e-05
1,1,Flow Duration,0.0001170596297015436
1,2,Total Fwd Packets,3.7903350857959595e-07
1,3,Total Backward Packets,2.5727467800606973e-07
1,4,Total Length of Fwd Packets,1.0354811053048252e-07
1,5,Total Length of Bwd Packets,2.6689164656090725e-07
1,6,Fwd Packet Length Max,8.754708687774837e-06
1,7,Fwd Packet Length Min,1.1411374543968122e-05
1,8,Fwd Packet Length Mean,2.2854488634038717e-05
1,9,Fwd Packet Length Std,3.806397671723971e-06
1,10,Bwd Packet Length Max,0.00023614794190507382
1,11,Bwd Packet Length Min,2.6823667212738656e-05
1,12,Bwd Packet Length Mean,0.00041398219764232635
1,13,Bwd Packet Length Std,0.000703393598087132
1,14,Flow Bytes/s,1.2288365951462765e-06
1,15,Flow Packets/s,1.8955968698719516e-05
1,16,Flow IAT Mean,1.3824205780110788e-05
1,17,Flow IAT Std,3.5020993891521357e-06
1,18,Flow IAT Max,3.2684174584574066e-06
1,19,Flow IAT Min,2.0542665879474953e-06
1,20,Fwd IAT Total,5.383403276937315e-06
1,21,Fwd IAT Mean,2.7314110411680304e-05
1,22,Fwd IAT Std,2.6681587769417092e-05
1,23,Fwd IAT Max,4.930017166770995e-05
1,24,Fwd IAT Min,1.6461481209262274e-06
1,25,Bwd IAT Total,1.59105948114302e-05
1,26,Bwd IAT Mean,1.666593561822083e-05
1,27,Bwd IAT Std,9.96921727391964e-08
1,28,Bwd IAT Max,2.9762310077785514e-05
1,29,Bwd IAT Min,1.4941908830223838e-06
1,30,Fwd PSH Flags,3.809032932622358e-06
1,31,Bwd PSH Flags,0.0
1,32,Fwd URG Flags,0.0
1,33,Bwd URG Flags,0.0
1,34,Fwd Header Length,6.579956846053392e-08
