,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Destination Port,1.0,-0.05917624443631022,-0.05404871523204343,-0.024579993788927196,-0.056900405171098616,-0.03765960974438043,-0.043850175867605846,0.010098680277797421,-0.03935348746480627,-0.009039619556403951,-0.03966934883206074,0.15743734400188777,-0.039981335195120545,-0.046465494787089036,0.018095391880797077,0.06144626549387415,-0.06097629004778901,-0.06319127549145287,-0.060822432999102435,0.03079900321213896,-0.05180278217455732,-0.05289602344562111,-0.06004994953233153,-0.05312518720709019,-0.024321245809396406,-0.04020709939521302,-0.04098684672559237,-0.03749914291936884,-0.040765479382507956,-0.04961155389293183,0.32251446113695875,,,,0.03855358113635106,-0.04393236890198978,0.06138234302249749,0.009668688345549351,0.009069945271487566,-0.05220027924532316,-0.05267374262384182,-0.0444040297798261,-0.04440415243366588,0.043239532694790014,0.32251446113695875,,-0.029545516990211126,0.04451574843882539,0.451876201617946,,,-0.012424886834862698,-0.038007591107403774,-0.03935348746480627,-0.039981335195120545,0.03855358113635106,,,,,,,-0.05404871523204343,-0.056900405171098616,-0.024579993788927196,-0.03765960974438043,0.011137376814643727,0.023788745285422623,-0.05700407471029221,0.058470255469748045,-0.023782949164980992,0.13323841986238058,-0.023689078917636493,-0.023538446203264302,-0.02647911854178313,-0.008549807446366535,-0.026930871516811207,-0.02624143094574744
Flow Duration,-0.05917624443631022,1.0,0.8512846597985002,-0.24281157249351093,0.4902841509565383,-0.23026331296335564,-0.28398140631241814,0.2844602284999044,-0.6073632777903417,-0.6082284672334628,-0.24446932832665094,-0.09162318900423123,-0.24128004850927312,-0.2388389953103843,-0.7622882774431653,-0.9901148718462053,0.9901051856785169,0.9943422931091562,0.9990192736058228,-0.33207733269194034,0.8506189295271982,0.8467675316551175,0.8502831242681798,0.8498457815041371,-0.4159286006319831,-0.08631908616239371,-0.08957782235079519,-0.0872118208755458,-0.0869586815877651,-0.25917124405625014,-0.02382454398741018,,,,0.010070711773399696,-0.2502101454638779,-0.9939590461715618,-0.7049933168640787,0.28455305290648325,-0.24146954717876612,-0.5756372588154229,-0.3647276215995369,-0.3645655525583127,-0.027112103971781265,-0.02382454398741018,,-0.784655189736285,0.7839887529124876,-0.06353891896665072,,,-0.75655936815731,-0.5692079573217137,-0.6073632777903417,-0.24128004850927312,0.010070711773399696,,,,,,,0.8512846597985002,0.4902841509565383,-0.24281157249351093,-0.23026331296335564,-0.7826808319851463,-0.2934759160187551,0.8517017205306504,-0.006231211400350643,0.8351486173026389,0.021207031492425858,0.835151322704814,0.8351328302136275,0.8826199508053858,0.4696320763683351,0.8850514294899321,0.8567478441226205
Total Fwd Packets,-0.05404871523204343,0.8512846597985002,1.0,-0.3089856910119083,0.6729404173688514,-0.3220474291223553,-0.35059436780340036,0.35472836833145627,-0.7121759790957988,-0.713002330151656,-0.30551817834519873,-0.06896208695576178,-0.3040380407009714,-0.3013707161165261,-0.6825669397833102,-0.8506609879950792,0.8450571556374534,0.8494081939222754,0.8491705489028493,-0.3919255394623421,0.892355312132575,0.8710687487177449,0.8909908492060605,0.8901171219923,-0.5057017497860081,-0.296674649670517,-0.296554582699649,-0.2964490876931958,-0.297265730896515,-0.2896431736171307,-0.01674920839210724,,,,0.018164499610934998,-0.31857698705712095,-0.8090240453913798,-0.6854085641319013,0.3548054805801806,-0.30198796753942214,-0.6732156677997881,-0.4430546367198808,-0.4428612203410798,-0.025329385432930528,-0.01674920839210724,,-0.8888028658278504,0.8910154176250162,-0.07678310184941037,,,-0.8674780300746081,-0.7009628316277535,-0.7121759790957988,-0.3040380407009714,0.018164499610934998,,,,,,,1.0,0.6729404173688514,-0.3089856910119083,-0.3220474291223553,-0.8842297180695509,-0.3635952941715574,0.9986472109992288,-0.006583270231524168,0.8013044844061813,0.02414342958992174,0.8013075243913691,0.8012851912289058,0.8231848651166214,0.4886179434977817,0.82329047027939,0.7819686864451126
Total Backward Packets,-0.024579993788927196,-0.24281157249351093,-0.3089856910119083,1.0,0.2009861592615276,0.7678182815872642,0.8570082869382825,-0.8588708076703097,0.7689177282618923,0.770320491167771,0.5309341143851423,-0.02546423757976344,0.4809781906554368,0.5089140923938614,0.6960667576317602,0.2952275495290379,-0.30906649296015215,-0.28272659009714984,-0.24905281774664548,-0.004206387690912489,-0.306933721406626,-0.3165328400184636,-0.313531465377051,-0.30963657353989016,0.16751370890270587,0.7414951155943125,0.6930167867496085,0.7172298600448712,0.7414724699567178,0.6254978646938013,-0.014218561826254245,,,,0.017868774621187383,0.9530425143540816,0.22501795029914246,0.7544457516148161,-0.8589074869558584,0.5300241228665208,0.5838234819274568,0.5154944915684195,0.5154202766503871,-0.018363954118382764,-0.014218561826254245,,0.5918880327449081,-0.591393159789115,-0.022514686313471234,,,0.6686920510697724,0.574262220590133,0.7689177282618923,0.4809781906554368,0.017868774621187383,,,,,,,-0.3089856910119083,0.2009861592615276,1.0,0.7678182815872642,0.5890411352014264,0.8554081996064795,-0.3090325398297259,0.0041960885650509355,-0.1909859051480909,0.02039859212412237,-0.1909778427977384,-0.19097669098637116,-0.13449585042460274,0.2063876039158647,-0.13442140445012823,-0.20800783488426133
Total Length of Fwd Packets,-0.056900405171098616,0.4902841509565383,0.6729404173688514,0.2009861592615276,1.0,0.2018523442844271,0.24620931360254342,-0.23150043685931382,-0.08509152199464018,-0.09174109898257683,0.1992993786657885,-0.04643856065104837,0.20011654619989458,0.2009894616633633,-0.09440962283885229,-0.44667967905984085,0.4332305354553325,0.4579683855663178,0.4853009861847965,-0.34904243943422913,0.4867900492004505,0.43642622558230304,0.47569394025701034,0.4828447172484247,-0.3589884974021292,0.20443462738377433,0.20442691234941712,0.20345631164068118,0.20399490361248918,0.20794886492333273,0.029589139547708598,,,,0.018163071979799168,0.2150158076346671,-0.4415919555803419,-0.08956293639438896,-0.23160166276376778,0.20224365297270164,-0.08008633718347231,0.09397769145808782,0.09411715024144161,-0.02939740761549221,0.029589139547708598,,-0.3226463623495824,0.3199968913364216,-0.07221464928859221,,,-0.32633824552595175,-0.2038004617099145,-0.08509152199464018,0.20011654619989458,0.018163071979799168,,,,,,,0.6729404173688514,1.0,0.2009861592615276,0.2018523442844271,-0.32305920907408436,0.22335861509918312,0.6725167785023853,0.006576517342809546,0.5198742039468317,0.021158309758997434,0.5198755200530201,0.5199166619941779,0.5380513638732889,0.4872394226967736,0.5381904314830422,0.4642419521124109
Total Length of Bwd Packets,-0.03765960974438043,-0.23026331296335564,-0.3220474291223553,0.7678182815872642,0.2018523442844271,1.0,0.8728399129713501,-0.8763822793830791,0.782406992448346,0.7842602964094675,0.8145914045292343,-0.011974725623793087,0.8082252173245753,0.8187195050117935,0.6918551735765262,0.2697737554088128,-0.2733211143741627,-0.2556090741869088,-0.23384189952124454,-0.0473003388881045,-0.42471327188742136,-0.43428965265211295,-0.42418605867578457,-0.4279034077655706,0.13787351394273542,0.7987465935069735,0.7957931260527416,0.8025149892438669,0.8032046745591678,0.5651036745102819,-0.015737648649304357,,,,0.0018924812016716985,0.822944169981568,0.21037881401364636,0.7151516311343477,-0.876383732322574,0.8139361007080421,0.7834733597086948,0.8290315376888953,0.8289939513601491,-0.018734607968679522,-0.015737648649304357,,0.6092599216167564,-0.6068106740931729,-0.031613137977738674,,,0.5754231288745385,0.7704570257898412,0.782406992448346,0.8082252173245753,0.0018924812016716985,,,,,,,-0.3220474291223553,0.2018523442844271,0.7678182815872642,1.0,0.6053508282939101,0.8736349006602794,-0.3229961394615216,0.004281346621360128,-0.20288983609534547,-0.0014710929690102599,-0.20289312337975857,-0.20287317019212495,-0.144377402649177,0.2055293741916083,-0.14435361279021355,-0.21789171982073868
Fwd Packet Length Max,-0.043850175867605846,-0.28398140631241814,-0.35059436780340036,0.8570082869382825,0.24620931360254342,0.8728399129713501,1.0,-0.9865397964788738,0.8934779573650763,0.8900184405616148,0.8446697134406043,-0.003993213220003731,0.8449349220477297,0.8434890452341167,0.8091826956267187,0.3284514753751333,-0.3322415097615604,-0.31495538018132857,-0.29117949847503394,0.05074828125947119,-0.3476054327340468,-0.35914147929120077,-0.3560641984511625,-0.3517385380164459,0.20779027189698646,0.8438430334247582,0.8435456437892443,0.8426813409147446,0.8437578761676939,0.8438341944609316,0.04053363878264149,,,,0.02069633448188216,0.898817817051566,0.2642716944393616,0.8314818448614956,-0.9867088773194281,0.8458370152764846,0.8434659788984139,0.8421154358277604,0.8421177619384679,-0.021763274953115117,0.04053363878264149,,0.6801949757803982,-0.6804216854309703,-0.061945040829572355,,,0.6451650082098649,0.8286801329014324,0.8934779573650763,0.8449349220477297,0.02069633448188216,,,,,,,-0.35059436780340036,0.24620931360254342,0.8570082869382825,0.8728399129713501,0.6759920657053786,0.9796383177286923,-0.35221831438854795,0.00750148313597091,-0.21816340308050064,0.024129030662374602,-0.21815413941015738,-0.21813868372445233,-0.1529293077420467,0.2395276946028674,-0.1527778990211537,-0.2378312668093747
Fwd Packet Length Min,0.010098680277797421,0.2844602284999044,0.35472836833145627,-0.8588708076703097,-0.23150043685931382,-0.8763822793830791,-0.9865397964788738,1.0,-0.8809422563039166,-0.8880104652677261,-0.8484778255973866,0.04875694606565,-0.8487689502453524,-0.8492138267815817,-0.8046153427268166,-0.32795751596673145,0.3315565485970951,0.3149164606911484,0.2912984545352273,-0.05457772201922112,0.3490243989828773,0.3596695798652338,0.3571255670975404,0.3528847467687216,-0.20870361809907545,-0.8453767340322675,-0.8453562195003512,-0.8454518260120109,-0.8453783230020091,-0.8446789799107416,0.01303082505283043,,,,-0.00736073380535078,-0.8996797370356118,-0.26371791494367863,-0.8326520480197367,0.9999525766308913,-0.8473173601556874,-0.8443331937952315,-0.8460280616950521,-0.8460303986134775,0.021839366101427785,0.01303082505283043,,-0.6829739120039883,0.6786881923098976,0.030391233618452983,,,-0.6488095577272409,-0.8295441055100901,-0.8809422563039166,-0.8487689502453524,-0.00736073380535078,,,,,,,0.35472836833145627,-0.23150043685931382,-0.8588708076703097,-0.8763822793830791,-0.6818383920615861,-0.9900270353081674,0.3567900219382996,0.00266720603006403,0.21972947500729947,-0.008774246217016165,0.2197299015775763,0.21975272946314037,0.15349734572042478,-0.24078426745504364,0.15329763713412886,0.23898775001024505
Fwd Packet Length Mean,-0.03935348746480627,-0.6073632777903417,-0.7121759790957988,0.7689177282618923,-0.08509152199464018,0.782406992448346,0.8934779573650763,-0.8809422563039166,1.0,0.9961776691057169,0.7540282940305935,-0.02728336107301805,0.7526713745661342,0.752693571168017,0.9080139010148598,0.6448251644546222,-0.6461797400164976,-0.6314768824448886,-0.6121486171997643,0.21186917245948997,-0.6717474598881908,-0.673997152773208,-0.6836241064090381,-0.6738395552190479,0.39194128206727047,0.7533223369819022,0.7525023027791872,0.7523760340545216,0.753430340123609,0.7501358931486144,0.03610360106141918,,,,0.0184905506175574,0.8050650623294434,0.577356177178598,0.9239252212936017,-0.8810933349025434,0.7550784219467411,0.9362267181573728,0.8207625422145872,0.8206814062630894,-0.01943408880555039,0.03610360106141918,,0.9222911214555809,-0.9257062058152691,-0.055325445985178516,,,0.8852304781374509,0.9198881751281377,1.0,0.7526713745661342,0.0184905506175574,,,,,,,-0.7121759790957988,-0.08509152199464018,0.7689177282618923,0.782406992448346,0.9153694507669765,0.8751444801617128,-0.7110996167642205,0.0067025270810627865,-0.5323040272343247,0.02154139456374963,-0.532288865714856,-0.5322925208809813,-0.5045644718327661,-0.0664737453491283,-0.5045416917309429,-0.5444157393380715
Fwd Packet Length Std,-0.009039619556403951,-0.6082284672334628,-0.713002330151656,0.770320491167771,-0.09174109898257683,0.7842602964094675,0.8900184405616148,-0.8880104652677261,0.9961776691057169,1.0,0.7559391984261022,-0.038070111174267784,0.755106339930821,0.7556553172488328,0.9077146378280068,0.6457611009434419,-0.6470705490658946,-0.632497229202718,-0.613028980279781,0.21404587971492303,-0.67287085110449,-0.675111955929058,-0.6849421416165015,-0.6750057217215502,0.3939439718310173,0.7551688566394129,0.7545500833274229,0.7551501554521926,0.7552915500973366,0.7511288839441578,0.03326698762963787,,,,0.018489866735691644,0.8060602272926933,0.5781627090425182,0.9243909147591123,-0.8880758950190175,0.7565086971085837,0.9383736038725745,0.8234272654922263,0.823345471122189,-0.01947456342067267,0.03326698762963787,,0.9267391837231267,-0.9248496782388679,-0.05067388319253358,,,0.8868063097023813,0.9219974733917571,0.9961776691057169,0.755106339930821,0.018489866735691644,,,,,,,-0.713002330151656,-0.09174109898257683,0.770320491167771,0.7842602964094675,0.9231823695198158,0.8799629259552983,-0.7134436003039322,0.004329197312708702,-0.5338944945400259,0.022195478341251067,-0.5338789852652217,-0.5338957726672248,-0.5062261790798653,-0.06735605225303776,-0.5061995752840847,-0.5460157230826724
