group_id,group_representative,feature_name,feature_index,raw_rank,corr_with_representative,abs_corr_with_representative,is_representative
1,Bwd Packet Length Std,Bwd Packet Length Std,13,1,1.0,1.0,True
2,PSH Flag Count,PSH Flag Count,46,2,1.0,1.0,True
2,PSH Flag Count,ACK Flag Count,47,3,-0.9961152322009075,0.9961152322009075,False
1,Bwd Packet Length Std,Bwd Packet Length Mean,12,4,0.9741228134325941,0.9741228134325941,False
1,Bwd Packet Length Std,Packet Length Variance,42,5,0.9821146824129751,0.9821146824129751,False
1,Bwd Packet Length Std,Max Packet Length,39,6,0.9847138370271795,0.9847138370271795,False
1,Bwd Packet Length Std,Avg Bwd Segment Size,54,7,0.9741228134325941,0.9741228134325941,False
1,Bwd Packet Length Std,Average Packet Size,52,8,0.8540156680893948,0.8540156680893948,False
3,URG Flag Count,URG Flag Count,48,9,1.0,1.0,True
1,Bwd Packet Length Std,Packet Length Std,41,10,0.9821119696009242,0.9821119696009242,False
