feature_name,feature_index,mean_abs_ig_attribution,normalized_feature_importance,rank,max_abs_corr_with_selected,most_correlated_selected_feature,nonredundant_rank,corr_threshold
Bwd Packet Length Std,13,0.0003898586146533,1.0,1,0.0,,1,0.85
PSH Flag Count,46,0.0003550253168214,0.910651445388794,2,0.5837944142799629,Bwd Packet Length Std,2,0.85
URG Flag Count,48,0.0001179796672658,0.3026216626167297,9,0.04821821166185764,Bwd Packet Length Std,3,0.85
Idle Min,77,7.826204819139093e-05,0.2007446885108947,11,0.7196911527319362,PSH Flag Count,4,0.85
SYN Flag Count,44,7.74518121033907e-05,0.1986664086580276,12,0.02259259444868705,Bwd Packet Length Std,5,0.85
Bwd IAT Total,25,6.986752850934863e-05,0.1792124807834625,13,0.7263885854072623,Bwd Packet Length Std,6,0.85
Destination Port,0,6.631260475842282e-05,0.1700939834117889,14,0.451876201617946,URG Flag Count,7,0.85
Flow IAT Mean,16,3.3984870242420584e-05,0.0871722921729087,21,0.8482369773622311,Idle Min,8,0.85
Min Packet Length,38,1.9666171283461154e-05,0.0504443682730197,27,0.8491977934435617,Bwd Packet Length Std,9,0.85
FIN Flag Count,43,1.5171127415669616e-05,0.0389144346117973,28,0.043239532694790014,Destination Port,10,0.85
