feature_name,feature_index,mean_abs_ig_attribution,normalized_feature_importance,rank,corr_threshold
Bwd Packet Length Std,13,0.0003898586146533,1.0,1,0.85
PSH Flag Count,46,0.0003550253168214,0.910651445388794,2,0.85
ACK Flag Count,47,0.0003050425439141,0.7824440002441406,3,0.85
Bwd Packet Length Mean,12,0.0002693862770684,0.6909845471382141,4,0.85
Packet Length Variance,42,0.0002107096661347,0.5404771566390991,5,0.85
Max Packet Length,39,0.0002106823958456,0.5404071807861328,6,0.85
Avg Bwd Segment Size,54,0.0001341825845884,0.3441826701164245,7,0.85
Average Packet Size,52,0.0001330983941443,0.3414016962051391,8,0.85
URG Flag Count,48,0.0001179796672658,0.3026216626167297,9,0.85
Packet Length Std,41,0.0001046690595103,0.2684795260429382,10,0.85
