rank,feature,mean_abs_ig_importance,std_abs_ig_importance,top5_count,top5_coverage
1,PSH Flag Count,0.0008294594008475542,0.0003691725723911077,58,0.90625
2,Bwd Packet Length Std,0.0002045024884864688,0.0004133517504669726,19,0.296875
3,Flow Duration,0.0002011281467275694,8.504090510541573e-05,45,0.703125
4,ACK Flag Count,0.00017389169079251587,0.0001616523804841563,16,0.25
5,Bwd Packet Length Mean,0.00014688678493257612,0.0002783267991617322,16,0.25
6,Avg Bwd Segment Size,0.00011597565753618255,0.00017543336434755474,5,0.078125
7,Bwd IAT Total,0.00011315248411847278,4.0185346733778715e-05,45,0.703125
8,Destination Port,0.00010873402789002284,4.877901301370002e-05,40,0.625
9,Fwd IAT Max,0.00010851499973796308,0.00027972893440164626,5,0.078125
10,Packet Length Variance,9.083565237233415e-05,0.00016523871454410255,11,0.171875
11,Flow IAT Max,8.584242459619418e-05,0.00015082799654919654,1,0.015625
12,Max Packet Length,8.464205893687904e-05,0.0001243694277945906,4,0.0625
13,Idle Min,8.018351218197495e-05,5.508184040081687e-05,1,0.015625
14,Packet Length Std,7.55607252358459e-05,9.90744520095177e-05,0,0.0
15,Init_Win_bytes_forward,7.507074042223394e-05,4.500842987908982e-05,39,0.609375
16,SYN Flag Count,7.456789899151772e-05,0.00015433364023920149,5,0.078125
17,Fwd IAT Total,7.20765019650571e-05,0.00011395032197469845,0,0.0
18,Idle Max,7.204591383924708e-05,0.00016635838255751878,1,0.015625
19,Idle Mean,6.988037057453766e-05,0.0001573599292896688,1,0.015625
20,URG Flag Count,6.485490303020924e-05,7.936069596325979e-05,0,0.0
21,Average Packet Size,6.236358603928238e-05,8.478170639136806e-05,0,0.0
22,Fwd IAT Std,6.017288251314312e-05,0.00018133629055228084,2,0.03125
23,Fwd IAT Mean,4.1179038817062974e-05,2.966804095194675e-05,0,0.0
24,Packet Length Mean,3.916185596608557e-05,6.505304190795869e-05,0,0.0
25,Flow IAT Std,3.788126923609525e-05,9.050202061189339e-05,0,0.0
26,Bwd IAT Max,3.708588337758556e-05,3.3516433177283034e-05,0,0.0
27,Fwd PSH Flags,3.65207924915012e-05,0.00010280469723511487,3,0.046875
28,Bwd Packet Length Max,3.646284312708303e-05,4.561198875308037e-05,0,0.0
29,Idle Std,3.141834895359352e-05,0.00011607876513153315,2,0.03125
30,Bwd IAT Mean,2.1723637473769486e-05,3.846026083920151e-05,0,0.0
31,Flow IAT Mean,2.1486195691977628e-05,1.4867855497868732e-05,0,0.0
32,Fwd IAT Min,2.09256886591902e-05,3.0118997528916225e-05,0,0.0
33,Bwd IAT Min,1.906003126350697e-05,4.213066858937964e-05,1,0.015625
34,Init_Win_bytes_backward,1.8409749827696942e-05,9.457272426516283e-06,0,0.0
35,FIN Flag Count,1.7405656763003208e-05,2.2877689843880944e-05,0,0.0
36,Fwd Packets/s,1.4595854736398906e-05,9.718246474221814e-06,0,0.0
37,Fwd Packet Length Max,1.3674092770088464e-05,2.3628704184375238e-06,0,0.0
38,Flow Packets/s,1.3169856174499728e-05,8.422491191595327e-06,0,0.0
39,Avg Fwd Segment Size,1.232979502674425e-05,6.416533324227203e-06,0,0.0
40,Min Packet Length,1.2262098607607186e-05,1.081114896805957e-05,0,0.0
41,Down/Up Ratio,1.1449624253145885e-05,4.598236046149395e-06,0,0.0
42,Fwd Packet Length Mean,9.588309694663621e-06,5.560723366215825e-06,0,0.0
43,Bwd Packets/s,9.485567716183141e-06,5.610329935734626e-06,0,0.0
44,Active Max,8.415514457738027e-06,1.6186499124160036e-05,0,0.0
45,Bwd IAT Std,5.554711151489755e-06,5.121625690662768e-06,0,0.0
46,Bwd Packet Length Min,5.430666533356998e-06,5.708744993171422e-06,0,0.0
47,Fwd Packet Length Min,3.9702017602394335e-06,3.984958311775699e-06,0,0.0
48,Fwd Packet Length Std,2.9874477149860468e-06,2.933027190010762e-06,0,0.0
49,Active Min,1.0643877885740949e-06,4.068338512297487e-06,0,0.0
50,Active Mean,9.398594329468324e-07,2.722111958064488e-06,0,0.0
51,Flow IAT Min,9.0591493062675e-07,3.5907402207158157e-07,0,0.0
52,Flow Bytes/s,6.773794893888407e-07,4.0001589241001057e-07,0,0.0
53,ECE Flag Count,3.856160617488058e-07,1.303745165159853e-07,0,0.0
54,Active Std,2.7219832077207684e-07,2.4055202629824635e-07,0,0.0
55,RST Flag Count,1.9596537015331705e-07,1.9443116627826385e-07,0,0.0
56,Bwd Header Length,1.937835776288921e-07,4.944969589359971e-08,0,0.0
57,Total Fwd Packets,1.6837357463828084e-07,4.113624640922353e-08,0,0.0
58,Subflow Fwd Bytes,1.5924898377761565e-07,6.737793256661462e-08,0,0.0
59,Subflow Bwd Packets,1.5914399398297974e-07,4.427581856703e-08,0,0.0
60,Total Backward Packets,1.5264701858086482e-07,4.2125755328470404e-08,0,0.0
61,Total Length of Bwd Packets,1.4060279340810666e-07,3.3538903210228455e-08,0,0.0
62,Total Length of Fwd Packets,1.1149253253961433e-07,1.2381738656586094e-07,0,0.0
63,Subflow Fwd Packets,1.0936417993434588e-07,3.224193889650451e-08,0,0.0
64,Subflow Bwd Bytes,1.0241198111771155e-07,2.1767403879380254e-08,0,0.0
65,act_data_pkt_fwd,4.862459590526669e-08,1.764241552848489e-08,0,0.0
66,Fwd Header Length,4.420997967713447e-08,1.9375860915715748e-08,0,0.0
67,Fwd Header Length.1,3.1291261137766924e-08,2.2591285286921448e-08,0,0.0
68,min_seg_size_forward,3.1734463945554126e-09,1.187412834724455e-09,0,0.0
69,Fwd Avg Bytes/Bulk,0.0,0.0,0,0.0
70,Bwd URG Flags,0.0,0.0,0,0.0
71,Fwd URG Flags,0.0,0.0,0,0.0
72,CWE Flag Count,0.0,0.0,0,0.0
73,Bwd Avg Bulk Rate,0.0,0.0,0,0.0
74,Bwd Avg Packets/Bulk,0.0,0.0,0,0.0
75,Bwd Avg Bytes/Bulk,0.0,0.0,0,0.0
76,Fwd Avg Packets/Bulk,0.0,0.0,0,0.0
77,Bwd PSH Flags,0.0,0.0,0,0.0
78,Fwd Avg Bulk Rate,0.0,0.0,0,0.0
