dataset,method,split_source,train_spec,test_spec,window_size,stride,anomaly_ratio_threshold,independent_calibration,calib_ratio,scaler_fit_source,model_training_source,threshold_calibration_source,target_fpr,threshold,observed_test_benign_fpr,fp_over_test_benign,precision,recall,f1,auc,ap,tp,fp,tn,fn,train_seconds,inference_seconds,windows_per_second,random_seed,baseline_hyperparameters,command_line,notes
unsw_nb15,IsolationForest,unsw_official_train_test + strict_independent_calibration_from_train_benign,Training and Testing Sets/UNSW_NB15_training-set.csv,Training and Testing Sets/UNSW_NB15_testing-set.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,0.08518526852130887,0.03182214472537052,73/2294,0.9074778200253474,0.2517580872011251,0.39416460225674754,0.7849063845388876,0.8026834450462349,716,73,2221,2128,0.1350431670434773,0.04538595792837441,113206.82066705533,42,"{""contamination"": 0.1, ""n_estimators"": 100}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset unsw_nb15 --data-dir /Users/lijie/Desktop/work/attack/dataset/UNSW-NB15 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
unsw_nb15,OneClassSVM,unsw_official_train_test + strict_independent_calibration_from_train_benign,Training and Testing Sets/UNSW_NB15_training-set.csv,Training and Testing Sets/UNSW_NB15_testing-set.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,3.738969039916992,0.026591107236268514,61/2294,0.9218950064020475,0.2531645569620252,0.39724137931000647,0.8172938148438353,0.8469695905642827,720,61,2233,2124,0.058698958018794656,0.21162691607605666,24278.57521749952,42,"{""nu"": 0.1, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""max_samples"": 10000, ""pca_components"": 100, ""sampled_train_windows"": null, ""pca_used"": true}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset unsw_nb15 --data-dir /Users/lijie/Desktop/work/attack/dataset/UNSW-NB15 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
unsw_nb15,MLP (Window),unsw_official_train_test + strict_independent_calibration_from_train_benign,Training and Testing Sets/UNSW_NB15_training-set.csv,Training and Testing Sets/UNSW_NB15_testing-set.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,1.0,0.00043591979075850024,1/2294,0.9992795389048985,0.4876933895921236,0.6554820415874606,0.9978394840328283,0.9979260782248467,1387,1,2293,1457,10.069419499952346,0.068567999987863,74932.91332559592,42,"{""hidden_layer_sizes"": [256, 128, 64], ""max_iter"": 100, ""supervised_train_windows"": 10951, ""supervised_train_anomaly_ratio"": 0.7271482056433203}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset unsw_nb15 --data-dir /Users/lijie/Desktop/work/attack/dataset/UNSW-NB15 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,supervised training uses official train window labels only
unsw_nb15,GANomaly,unsw_official_train_test + strict_independent_calibration_from_train_benign,Training and Testing Sets/UNSW_NB15_training-set.csv,Training and Testing Sets/UNSW_NB15_testing-set.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,2.5855659008026115,0.01918047079337401,44/2294,0.0,0.0,0.0,0.7494742598866732,0.702568564174974,0,44,2250,2844,4.677040416980162,0.17624304199125618,29152.923950636916,42,"{""latent_dim"": 64, ""epochs"": 30, ""batch_size"": 256, ""lr"": 0.001}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset unsw_nb15 --data-dir /Users/lijie/Desktop/work/attack/dataset/UNSW-NB15 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
unsw_nb15,TranAD,unsw_official_train_test + strict_independent_calibration_from_train_benign,Training and Testing Sets/UNSW_NB15_training-set.csv,Training and Testing Sets/UNSW_NB15_testing-set.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,0.028087292611598966,0.027027027027027015,62/2294,0.0,0.0,0.0,0.7348735526052799,0.6357799370614758,0,62,2232,2844,34.14182304101996,1.2374229170382023,4152.177828012035,42,"{""d_model"": 64, ""nhead"": 4, ""num_layers"": 2, ""epochs"": 30, ""batch_size"": 256, ""lr"": 0.001}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset unsw_nb15 --data-dir /Users/lijie/Desktop/work/attack/dataset/UNSW-NB15 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
unsw_nb15,Ours,unsw_official_train_test + strict_independent_calibration_from_train_benign,Training and Testing Sets/UNSW_NB15_training-set.csv,Training and Testing Sets/UNSW_NB15_testing-set.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.05,1.0,0.027462946817785515,63/2294,0.24096385542168386,0.007032348804500701,0.013665869490891247,0.8061246730601569,0.7548750835193664,20,63,2231,2824,0.0,38.70844845799729,132.73588078776308,42,"{""reference"": ""checkpoint_eval_strict"", ""checkpoint"": ""/Users/lijie/Desktop/work/attack/_archive/2026-04-29_current_only_cleanup/results_legacy/cross_dataset_formal_unsup/unsw_nb15_tcn/20260420_230046/ours_ckpt.pt"", ""score_mode"": ""fused"", ""score_alpha"": 0.24, ""disc_pooling"": ""attn""}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset unsw_nb15 --baselines ours --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --target-fprs 0.05 0.15 --device auto,checkpoint-based Ours evaluation; scaler fit/model train/calibration remain strict-no-leakage in dataset pipeline
unsw_nb15,IsolationForest,unsw_official_train_test + strict_independent_calibration_from_train_benign,Training and Testing Sets/UNSW_NB15_training-set.csv,Training and Testing Sets/UNSW_NB15_testing-set.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.15,0.06871366500854492,0.07846556233653004,180/2294,0.8113207547169803,0.2721518987341771,0.40758293838824916,0.7849063845388876,0.8026834450462349,774,180,2114,2070,0.09946479205973446,0.06444650003686547,79725.04320732543,42,"{""contamination"": 0.1, ""n_estimators"": 100}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset unsw_nb15 --data-dir /Users/lijie/Desktop/work/attack/dataset/UNSW-NB15 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
unsw_nb15,OneClassSVM,unsw_official_train_test + strict_independent_calibration_from_train_benign,Training and Testing Sets/UNSW_NB15_training-set.csv,Training and Testing Sets/UNSW_NB15_testing-set.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.15,3.6287416934967043,0.027027027027027015,62/2294,0.92081736909323,0.25351617440225027,0.3975737524121233,0.8172909025808168,0.8469683861348444,721,62,2232,2123,0.06094766594469547,0.1808446670183912,28411.12256562968,42,"{""nu"": 0.1, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""max_samples"": 10000, ""pca_components"": 100, ""sampled_train_windows"": null, ""pca_used"": true}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset unsw_nb15 --data-dir /Users/lijie/Desktop/work/attack/dataset/UNSW-NB15 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
unsw_nb15,MLP (Window),unsw_official_train_test + strict_independent_calibration_from_train_benign,Training and Testing Sets/UNSW_NB15_training-set.csv,Training and Testing Sets/UNSW_NB15_testing-set.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.15,1.0,0.00043591979075850024,1/2294,0.9992795389048985,0.4876933895921236,0.6554820415874606,0.9978394840328283,0.9979260782248467,1387,1,2293,1457,14.860562667017803,0.16352054197341204,31421.128733999816,42,"{""hidden_layer_sizes"": [256, 128, 64], ""max_iter"": 100, ""supervised_train_windows"": 10951, ""supervised_train_anomaly_ratio"": 0.7271482056433203}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset unsw_nb15 --data-dir /Users/lijie/Desktop/work/attack/dataset/UNSW-NB15 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,supervised training uses official train window labels only
unsw_nb15,GANomaly,unsw_official_train_test + strict_independent_calibration_from_train_benign,Training and Testing Sets/UNSW_NB15_training-set.csv,Training and Testing Sets/UNSW_NB15_testing-set.csv,128,16,0.15,True,0.2,model_train_benign only,model_train_benign,independent_calibration_benign,0.15,0.5879464626312251,0.03182214472537052,73/2294,0.0,0.0,0.0,0.7494742598866732,0.702568564174974,0,73,2221,2844,3.3690624999580905,0.181744166999124,28270.50840110189,42,"{""latent_dim"": 64, ""epochs"": 30, ""batch_size"": 256, ""lr"": 0.001}",/Users/lijie/miniforge3/envs/attack/bin/python experiments/run_current_paper_compact_baselines.py --dataset unsw_nb15 --data-dir /Users/lijie/Desktop/work/attack/dataset/UNSW-NB15 --baselines isolationforest oneclasssvm mlp ganomaly tranad timesnet dlinear ours --target-fprs 0.05 0.15 --window-size 128 --stride 16 --anomaly-ratio 0.15 --independent-calibration --calib-ratio 0.2 --strict-no-leakage --device mps,
