disc_pooling,gan_loss,window,stride,score_mode,score_alpha,target_fpr,auc,ap,calib_f1,calib_recall,calib_precision,calib_threshold,train_benign_fpr,test_benign_fpr,eval_seconds,json
attn,vanilla,128,16,fused,0.24,0.01,0.8367473846364332,0.6871814009966162,0.3019826314923441,0.19857773946772977,0.63008547008547,0.5654446482658386,0.01,0.08541543319518453,28.1199173329951,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_vanilla_fpr0p010.json
mean,vanilla,128,16,fused,0.24,0.01,0.9469153830004308,0.9289104171454587,0.6224252920147487,0.45501562331645296,0.9847265943803193,0.38681691884994507,0.01002,0.005170712453128084,16.087736625006073,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_vanilla_fpr0p010.json
attn,wgan-gp,128,16,fused,0.24,0.01,0.9463788913506751,0.9351284295554545,0.38992674786497084,0.24232302553604138,0.9975604346861829,0.6570660471916199,0.01,0.0004341819617130452,24.004986790998373,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_wgangp_fpr0p010.json
mean,wgan-gp,128,16,fused,0.24,0.01,0.825299828329902,0.821794686097431,0.09788562944750699,0.05150307078978558,0.9845520082389279,0.4648803770542145,0.01,0.0005920663114268798,26.630787875008537,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_wgangp_fpr0p010.json
attn,vanilla,128,16,fused,0.24,0.03,0.8367473846364332,0.6871814009966162,0.43240641315171585,0.31456739575476783,0.6914150384843101,0.4668463170528412,0.03,0.10286165383856326,26.10482370801037,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_vanilla_fpr0p030.json
mean,vanilla,128,16,fused,0.24,0.03,0.9469153830004308,0.9289104171454587,0.8093908629436781,0.68721042991057,0.9844111745639758,0.38140976428985596,0.03,0.007973159660548648,31.64376379198802,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_vanilla_fpr0p030.json
attn,wgan-gp,128,16,fused,0.24,0.03,0.9463788913506751,0.9351284295554545,0.5787360935883021,0.40776855942247603,0.9965766951942066,0.5999131202697754,0.03,0.001026248273139925,23.95202933299879,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_wgangp_fpr0p030.json
mean,wgan-gp,128,16,fused,0.24,0.03,0.825299828329902,0.821794686097431,0.5539285031538604,0.3902596702941493,0.954036612669564,0.35446396470069885,0.03,0.01377540951253207,25.47727666699211,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_wgangp_fpr0p030.json
attn,vanilla,128,16,fused,0.24,0.05,0.8367473846364332,0.6871814009966162,0.4807032289692165,0.36973386488524945,0.6868494795836668,0.42217695713043213,0.05,0.12350503256364713,25.715942042006645,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_vanilla_fpr0p050.json
mean,vanilla,128,16,fused,0.24,0.05,0.9469153830004308,0.9289104171454587,0.8258218695420811,0.7260532270229502,0.9573772820913545,0.34255272150039673,0.05,0.023682652457075192,27.594546666005044,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_vanilla_fpr0p050.json
attn,wgan-gp,128,16,fused,0.24,0.05,0.9463788913506751,0.9351284295554545,0.7957516867348393,0.6639909492511583,0.9927507047925894,0.5039418339729309,0.05,0.003552397868561279,29.374196583012235,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_wgangp_fpr0p050.json
mean,wgan-gp,128,16,fused,0.24,0.05,0.825299828329902,0.821794686097431,0.6176006584809146,0.48507703911216465,0.8497546243865608,0.29160770773887634,0.05,0.06283797118610618,24.7539137499989,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_wgangp_fpr0p050.json
attn,vanilla,128,16,fused,0.24,0.1,0.8367473846364332,0.6871814009966162,0.7138332736631283,0.6982006249326581,0.7301819820834977,0.36280912160873413,0.1,0.1890270376948885,30.704142292001052,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_vanilla_fpr0p100.json
mean,vanilla,128,16,fused,0.24,0.1,0.9469153830004308,0.9289104171454587,0.850111979023917,0.8384333584743023,0.8621205406603146,0.18488720059394836,0.1,0.0982435366094336,24.399283958002343,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_vanilla_fpr0p100.json
attn,wgan-gp,128,16,fused,0.24,0.1,0.9463788913506751,0.9351284295554545,0.7598906632134282,0.7113996336601659,0.8154758228864323,0.3176274597644806,0.1,0.11793960923623446,23.321948750002775,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_wgangp_fpr0p100.json
mean,wgan-gp,128,16,fused,0.24,0.1,0.825299828329902,0.821794686097431,0.7319502563795363,0.6690550587221205,0.8078974759302627,0.22757062315940857,0.1,0.1165581211762384,26.301768874996924,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_wgangp_fpr0p100.json
attn,vanilla,128,16,fused,0.24,0.15,0.8367473846364332,0.6871814009966162,0.6891178162417217,0.7099450490248895,0.6694777484251169,0.3438713848590851,0.15,0.256798894809552,25.94459454099706,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_vanilla_fpr0p150.json
mean,vanilla,128,16,fused,0.24,0.15,0.9469153830004308,0.9289104171454587,0.8468781097696015,0.8940308156448659,0.8044500460516748,0.13824144005775452,0.15,0.15922636668640222,23.341471874999115,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_vanilla_fpr0p150.json
attn,wgan-gp,128,16,fused,0.24,0.15,0.9463788913506751,0.9351284295554545,0.8783337815038923,0.9678375175088891,0.8039829939583799,0.24550701677799225,0.15,0.1728833629366489,28.420862458006013,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_wgangp_fpr0p150.json
mean,wgan-gp,128,16,fused,0.24,0.15,0.825299828329902,0.821794686097431,0.7542516049099639,0.7215817261071005,0.7900200542644804,0.20769049227237701,0.15,0.14051707124531282,25.445920749989455,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_wgangp_fpr0p150.json
attn,vanilla,128,16,fused,0.24,0.2,0.8367473846364332,0.6871814009966162,0.8131098323737928,0.9629889020579679,0.7036016532178705,0.33322227001190186,0.2,0.2972172883362937,29.447842749999836,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_attn_vanilla_fpr0p200.json
mean,vanilla,128,16,fused,0.24,0.2,0.9469153830004308,0.9289104171454587,0.8320153366877399,0.9352440469776964,0.7493093922651933,0.1104143038392067,0.2,0.22924807578448786,26.569113165998715,attack/results/final_experiments/20260414_132416/ablation_2x2/20260414_204232/fpr_sweep/eval_mean_vanilla_fpr0p200.json
