method,window_size,stride,auc,ap,target_fpr,calib_f1,calib_recall,calib_precision,calib_threshold,train_benign_fpr,test_benign_fpr,eval_seconds,n_train_windows,n_test_windows
IsolationForest,128,16,0.832723597423475,0.8430233484191584,0.05,0.6621454993834772,0.5664556962025317,0.7967359050445104,0.017531671091631416,0.050200803212851405,0.1791630340017437,0.19411373138427734,2988,5138
IsolationForest,128,16,0.832723597423475,0.8430233484191584,0.15,0.8272096797993213,0.9855836849507735,0.7126875158911772,-0.015730012275733545,0.15026773761713522,0.4925893635571055,0.19411373138427734,2988,5138
OneClassSVM,128,16,0.7575628405048577,0.8197409200102974,0.05,0.529758976881456,0.37869198312236285,0.881342062193126,4.051610681735082,0.050200803212851405,0.06320836965998257,1.0507378578186035,2988,5138
OneClassSVM,128,16,0.7575628405048577,0.8197409200102974,0.15,0.6177853783668235,0.5080872011251758,0.7878953107960741,-1.460784545997509,0.15026773761713522,0.16957279860505667,1.0507378578186035,2988,5138
DeepSVDD,128,16,0.7333769559678094,0.7046700705686921,0.05,0.8176572417772647,0.9964838255977496,0.6932485322896281,0.0007458539912477136,0.16532797858099063,0.5466434176111595,2.3057661056518555,2988,5138
DeepSVDD,128,16,0.7333769559678094,0.7046700705686921,0.15,0.8176572417772647,0.9964838255977496,0.6932485322896281,0.0007458539912477136,0.16532797858099063,0.5466434176111595,2.3057661056518555,2988,5138
TranAD,128,16,0.8467013869729263,0.8666048155144752,0.05,0.7061430010070493,0.6163853727144867,0.8264969354078265,0.2191382721066475,0.050200803212851405,0.16041848299912817,56.33849382400513,2988,5138
TranAD,128,16,0.8467013869729263,0.8666048155144752,0.15,0.817841547099189,0.9219409282700421,0.7348654708520179,0.09195187687873839,0.15026773761713522,0.41238012205754143,56.33849382400513,2988,5138
GANomaly,128,16,0.9702897057939932,0.9721415476869842,0.05,0.831062271062271,0.9971870604781997,0.71238382316001,0.004029066232033074,0.050200803212851405,0.499128160418483,3.7886228561401367,2988,5138
GANomaly,128,16,0.9702897057939932,0.9721415476869842,0.15,0.7612799571562459,0.999648382559775,0.6147027027027027,0.002088610804639756,0.15026773761713522,0.7768090671316478,3.7886228561401367,2988,5138
LSTM-AE,128,16,0.7963780951224806,0.824878990899084,0.05,0.6601983613626563,0.5383263009845288,0.8534002229654404,1.0441895961761476,0.050200803212851405,0.11464690496948561,40.40837383270264,2988,5138
LSTM-AE,128,16,0.7963780951224806,0.824878990899084,0.15,0.7205316544246241,0.7243319268635724,0.7167710508002784,0.5459936708211898,0.15026773761713522,0.3548387096774194,40.40837383270264,2988,5138
LSTM-AD,128,16,0.6723250404344728,0.69757558806989,0.05,0.2405702405702406,0.14240506329113925,0.7743785850860421,3.0278514623641968,0.050200803212851405,0.05143853530950305,19.345092296600342,2988,5138
LSTM-AD,128,16,0.6723250404344728,0.69757558806989,0.15,0.5546364823683065,0.4479606188466948,0.728,0.6690108776092525,0.15026773761713522,0.2074978204010462,19.345092296600342,2988,5138
